,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址,lon,lat
76,臺北市大安區敦化南路二段154巷3號四樓,37,3,2,2,有,245443,False,121.54808949999999,25.0252204
78,臺北市大安區四維路198巷38弄9號十三樓,37,2,2,2,有,257275,False,121.54660894999999,25.02656525
79,臺北市大安區復興南路二段180巷18號,36,5,4,2,有,314764,False,121.54205130000001,25.0273559
80,臺北市大安區忠孝東路四段341號十一樓之2,43,3,1,2,有,286978,False,121.5573287,25.0415562
83,臺北市大安區泰順街26巷35號三樓,35,5,3,4,無,228840,False,121.530057,25.025065899999998
121,臺北市大安區延吉街166號五樓,41,2,2,1,有,315266,False,121.5549727,25.038976299999998
123,臺北市大安區敦化南路二段172巷13號四樓,53,4,2,2,無,258118,False,121.54733019999999,25.0241279
262,臺北市大安區羅斯福路二段79號十一樓之6,33,1,0,1,有,265969,False,121.52340679999999,25.026155199999998
267,臺北市大安區和平東路二段311巷43弄19號十二樓,37,3,2,2,有,251708,False,121.5461519,25.0257057
298,臺北市大安區復興南路一段253巷8號十四樓之5,43,1,1,1,有,340426,False,121.54421579999998,25.036733899999998
299,臺北市大安區忠孝東路三段217巷2弄3之4號,51,4,2,3,有,229647,False,121.54036540000001,25.042182800000003
303,臺北市大安區忠孝東路三段248巷13弄10號五樓,40,3,2,1,無,238686,False,121.54211760000001,25.0405508
305,臺北市大安區光復南路460號五樓之2,44,3,2,2,有,288344,False,121.55729269999999,25.0351802
321,臺北市大安區和平東路一段191號十四樓,4,1,1,1,有,364282,False,121.53370649999998,25.026351599999998
322,臺北市大安區信義路三段105號十二樓之10,15,1,1,1,有,433213,False,121.5388727,25.0337041
323,臺北市大安區安和路二段21號五樓,38,4,2,2,有,302590,False,121.55265729999999,25.0322507
458,臺北市大安區雲和街80號三樓,43,4,2,2,無,239253,False,121.5306877,25.023348900000002
