機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","活力健康藥妝藥局","臺北市","中正區","中華路二段315巷1號","蕭聖鈞","男","23392625","Y"
"開業","建祥武昌藥局","臺北市","中正區","武昌街1段29號1樓","黃盟婷","女","2381-5229","Y"
"開業","保德中華藥局","臺北市","中正區","中華路二段159號","蕭宇凱","男","02-23027720","Y"
"開業","71恩典藥局","臺北市","中正區","信義路二段71號","洪增陽","男","23223371","Y"
"開業","豐仁藥局","臺北市","中正區","寧波西街161號","黃敬堯","男","02-23033908","Y"
"開業","立赫健保藥局","臺北市","中正區","新生南路一段16之2號","曾冠燁","男","02-33223231","Y"
"開業","汀州健康人生藥局","臺北市","中正區","汀州路三段211號","蔣采蓁","女","2368-8902","Y"
"開業","宏越藥局","臺北市","中正區","中華路二段313巷4號","李孟樵","男","2305-0880","Y"
"開業","大盛藥局","臺北市","中正區","中華路一段21巷16號","許維珊","女","0223316807","Y"
"開業","北車維康藥局","臺北市","中正區","青島西路11號","張育瑋","男","02-2361-3509","Y"
"開業","和眾藥局","臺北市","中正區","忠孝西路一段6號","趙珮玲","女","02-23911393","Y"
"開業","中力藥局","臺北市","中正區","襄陽路13之5號、15號","林淑芬","女","02-23313768","Y"
"開業","躍獅南門藥局","臺北市","中正區","中華路二段39巷10號","王聖豪","男","02-23141111","Y"
"開業","桐心藥局","臺北市","中正區","金華街18之6號1樓","楊茜予","女","02-2358-1663","Y"
"開業","吉如有限公司","臺北市","中正區","新生南路1段50之2號4樓","黃峰淇","男","0223965643","N"
"開業","裕全企業有限公司","臺北市","中正區","羅斯福路一段１０號十樓之三","陳恒全","男","23968970","N"
"開業","佳和醫療器材行","臺北市","中正區","黎明里公園路30號","吳鴻翔","男","02-23117102",""
"開業","南和藥局","臺北市","中正區","泉州街１４１號","趙常元","男","02-23032755","N"
"開業","日生大藥局","臺北市","中正區","汀州路一段５３號１樓","李志剛","男","0223031393","Y"
"開業","三元藥局","臺北市","中正區","三元街１５８號","簡素雲","女","0223052839","Y"
"開業","大安藥局","臺北市","中正區","新生南路一段一○六號","陳芸馥","女","0223213186","Y"
"開業","上海聯合藥局","臺北市","中正區","衡陽路３２號１樓","李照雄","男","0223714797","Y"
"開業","中心藥局","臺北市","中正區","汀州路三段１２１號","楊淑真","女","0223689889","Y"
"開業","楊藥局","臺北市","中正區","臨沂街２９巷１８號","楊明仁","男","0223414449","N"
"開業","和康大藥局","臺北市","中正區","忠孝東路一段７８號１樓","江惟芳","男","02-23958181","N"
"開業","古亭藥局","臺北市","中正區","汀州路三段１１７號","廖秀香","女","","Y"
"開業","新獻安藥局","臺北市","中正區","羅斯福路一段１５號","李宏仁","男","0223519891","Y"
"開業","國杏藥師示範藥局","臺北市","中正區","延平南路１７１巷３號","費工梅","女","0223811322","Y"
"開業","東華藥局","臺北市","中正區","汀州路三段一一三號","張平馬","男","02-23640852、02-23640852、0223640582","Y"
"開業","連雲藥局","臺北市","中正區","連雲街79號","徐信誠","男","02-23410504","Y"
"開業","合泰大藥局","臺北市","中正區","衡陽路26號","吳秀美","女","0223899977","Y"
"開業","吉星藥局","臺北市","中正區","襄陽路１９號１樓","謝素怡","女","2311-7779","N"
"開業","全民藥局","臺北市","中正區","廈門街八十七號","張淑慧","女","0223695759","Y"
"開業","和平藥局","臺北市","中正區","中華路二段四十三號","曾德繁","男","23755303","Y"
"開業","丞良藥局","臺北市","中正區","南昌路一段７８號地下一樓","劉嘉敏","女","33938868","Y"
"開業","慶安藥局","臺北市","中正區","徐州路26號","陳朝揚","男","02-2358-2385","Y"
"開業","達昌藥局","臺北市","中正區","汀州路一段207號","黃煊堯","男","23390109","Y"
"開業","大愛生活藥局","臺北市","中正區","汀州路二段232號","陳峙瑞","男","02-23661155","Y"
"開業","台醫藥局","臺北市","中正區","公園路30巷4號","江孟勳","男","23141202","Y"
"開業","佑康大藥局","臺北市","中正區","汀州路二段64號","蔡佳容","女","23683602","Y"
"開業","佳和藥局","臺北市","中正區","黎明里公園路30號","吳鴻翔","男","","Y"
"開業","正康藥局","臺北市","中正區","漢口街1段22號","楊淑蓮","女","23712831","Y"
"開業","進達健保藥局","臺北市","中正區","中華路二段453號","阮思維","男","23039829","Y"
"開業","珍忻藥局","臺北市","中正區","南昌路一段65號","盧瑞珍","女","02-23965115","Y"
"開業","博昱連雲藥局","臺北市","中正區","連雲街72號、72之1號","陳晉暘","男","02-23581898","Y"
"開業","長頸鹿藥師藥局","臺北市","中正區","南昌路一段132號","邱倢庭","女","02-23962120","Y"
"開業","躍獅南寧藥局","臺北市","中正區","南昌路1段81號","陳紅宏","女","02-23967072","Y"
"開業","鈞安藥局","臺北市","中正區","中華路2段425號1樓","林宜萱","女","02-23098282","Y"
"開業","躍獅東門藥局","臺北市","中正區","金山南路1段108之1號(1樓)","吳尚恩","男","02-23920339","Y"
"開業","康呈安藥局","臺北市","中正區","汀州路2段187號1樓","李浩維","男","02-23672215","Y"
"開業","立赫臺大藥局","臺北市","中正區","公園路28號1樓","江怡昀","女","2361-6162","Y"
"開業","南昌春天藥局","臺北市","中正區","南昌路1段157號1樓","張博程","男","02-23972886","Y"
