中文單位名稱,英文單位名稱,郵遞區號,地址,電話,POINT_X,POINT_Y
臺北市政府警察局,Taipei City Police Department,100,臺北市中正區延平南路96號,02 23313561,301442.6468,2770733.688
中山分局,Zhongshan Precinct,104,臺北市中山區中山北路2段1號,02 25412491,302750.6974,2771704.464
中山一派出所,Zhongshan First Police Station,104,臺北市中山區中山北路1段110號,02 25519321,302613.5457,2771415.78
中山二派出所,Zhongshan Second Police Station,104,臺北市中山區中山北路2段90號,02 25517771,302727.2356,2772263.722
圓山派出所,Yuanshan Police Staticn,104,臺北市中山區中山北路3段62號,02 25969433,302834.9838,2773933.985
長春路派出所,Changchun Rd. Police Station,104,臺北市中山區長春路206號,02 25062289,304083.3089,2771936.628
長安東路派出所,Changan E. Rd. Police Station,104,臺北市中山區長安東路2段165號,02 27735207,304542.2421,2771254.798
民權一派出所,Minquan First Police Station,104,臺北市中山區新生北路2段127之1號,02 25314672,303266.0302,2772517.502
建國路派出所,Jianguo Police Station,104,臺北市中山區民族東路284號,02 25099774,304074.2363,2773416.496
大直派出所,Dazhi Police Station,104,臺北市中山區北安路456號,02 25332984,304885.9044,2774696.884
大安分局,Daan Precinct,106,臺北市大安區仁愛路3段2號,02 23259850,303799.5071,2770073.759
羅斯福路派出所,Roosevelt Rd. Police Station,106,臺北市大安區羅斯福路4段113巷13號,02 27355761,304304.245,2767119.728
臥龍街派出所,Wolong St. Police Station ,106,臺北市大安區臥龍街185號,02 27334439,305704.638,2767879.535
敦化南路派出所,Dunhua S. Rd. Police Station,106,臺北市大安區復興南路1段219之1號,02 27710400,304887.245,2770202.898
安和路派出所,Anhe Rd. Police Station  ,106,臺北市大安區信義路4段216號,02 27025232,305713.4808,2769541.335
瑞安街派出所,Ruian St. Police Station ,106,臺北市大安區瑞安街23巷17號,02 27054164,304997.983,2769339.702
和平東路派出所,Heping E. Rd. Police Station,106,臺北市大安區和平東路1段143號,02 23218073,303537.1505,2768830.191
新生南路派出所,Xinsheng S. Rd. Police Station,106,臺北市大安區仁愛路3段18號,02 23258611,303890.854,2770063.681
中正一分局,Zhongzheng First Precinct,100,臺北市中正區公園路15號,02 23716426,302203.122,2770880.541
忠孝西路派出所,Zhongxiao W. Rd. Police Station,100,臺北市中正區公園路15號,02 23142722,302203.122,2770880.541
忠孝東路派出所,Zhongxiao E. Rd. Police Station,100,臺北市中正區忠孝東路2段10號,02 23218656,303191.773,2770716.007
仁愛路派出所,Renai Rd. Police Station,100,臺北市中正區仁愛路1段19號,02 23212067,302732.972,2770196.939
介壽路派出所,Jieshou Rd. Police Station,100,臺北市中正區公園路54號,02 23113081,302016.5011,2770305.297
博愛路派出所,Boai Rd. Police Station,100,臺北市中正區武昌街1段69號,02 23142724,301460.831,2770772.37
中正二分局,Zhongzheng Second Precinct,100,臺北市中正區南海路35號,02 23751825,301867.8916,2769430.002
南海路派出所,Nanhai Rd. Police Station,100,臺北市中正區南海路35號,02 23752835,301867.8916,2769430.002
思源街派出所,Siyuan St. Police Station,100,臺北市中正區汀州路3段72號,02 23650844,303684.3468,2767564.109
南昌路派出所,Nanchang Rd. Police Station,100,臺北市中正區龍福里南昌路1段7號,02 23218148,302125.209,2769456.815
泉州街派出所,Quanzhou St. Police Station,100,臺北市中正區中華路2段503號,02 23039915,301689.695,2768565.036
廈門街派出所,Xiamen St. Police Station,100,臺北市中正區螢圃里廈門街43號,02 23684427,302258.5052,2768767.073
文山二分局,Wenshan Second Precinct,116,臺北市文山區景中街2號,02 29313843,304616.2128,2765076.297
萬盛派出所,Wansheng Police Station,116,臺北市文山區羅斯福路5段151號,02 29312502,304398.025,2766317.721
景美派出所,Jingmei Police Station,116,臺北市文山區景中街2號,02 29313459,304616.2128,2765076.297
興隆派出所,Xinglong Police Station,116,臺北市文山區里興隆路2段156號,02 29313842,305635.07,2766058.606
文山一分局,Wenshan First Precinct,116,臺北市文山區木柵路2段202號,02 29395734,306905.3151,2764647.591
