鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),基隆市中正區祥豐街１６８之４號,18.2,住,,,1021018,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720415,68.95,3,1,2,有,無,1450000,21030,,0.0,0,,RPUOMLSJJIIFFBC87CA,63.3,0.0,5.65,,
中正區,房地(土地+建物),基隆市中正區新豐街３３３巷５號８樓,24.66,住,,,1020911,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840821,118.34,3,2,1,有,有,3050000,25773,,0.0,0,衛浴設備實際為1.5套,RPPNMLMKJIIFFBC76CA,90.11,0.48,9.15,,
中正區,房地(土地+建物),基隆市中正區武昌街７之３號,19.0,住,,,1020924,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621129,61.42,4,1,2,有,無,2000000,32563,,0.0,0,含增建或未登記建物。,RPXNMLNKJIIFFBC67CA,61.42,0.0,0.0,,
信義區,房地(土地+建物),基隆市信義區教忠街８０巷３１號,103.61,住,,,1020923,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0921204,197.47,5,3,3,有,無,10888888,55142,,0.0,0,,RPXTMLPKJIIFFBC48CA,179.79,0.96,16.72,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０３號六樓,51.4,住,,,1021006,土地6建物1車位1,六層，見其他登記事項,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,195.79000000000002,2,1,2,有,有,8290000,42341,坡道平面,32.88,0,,RPPPMLNLJIIFFBC17CA,111.51,1.08,9.49,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０５號二樓,52.24,住,,,1021006,土地6建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,7400000,37449,坡道平面,32.88,0,,RPQPMLNLJIIFFBC27CA,110.73,1.98,10.92,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０５號三樓,52.24,住,,,1021006,土地6建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,8300000,42004,坡道平面,32.88,0,,RPRPMLNLJIIFFBC37CA,110.73,1.98,10.92,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０５號四樓,52.24,住,,,1021006,土地6建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,7580000,38360,坡道平面,32.88,0,,RPSPMLNLJIIFFBC47CA,110.73,1.98,10.92,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０５號五樓,52.24,住,,,1021006,土地6建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,7800000,39474,坡道平面,32.88,0,,RPTPMLNLJIIFFBC57CA,110.73,1.98,10.92,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０７號五樓,75.76,住,,,1021006,土地6建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,290.27,3,1,3,有,有,11800000,40652,坡道平面,32.88,0,,RPUPMLNLJIIFFBC67CA,162.31,3.27,19.46,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０９號,60.64,住,,,1021006,土地6建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,229.97,3,1,2,有,有,8880000,38614,坡道平面,32.88,0,,RPVPMLNLJIIFFBC77CA,131.84,0.0,6.38,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１０９號三樓,69.88,住,,,1021006,土地6建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,265.45,3,1,2,有,有,9580000,36090,坡道平面,32.88,0,,RPWPMLNLJIIFFBC87CA,145.27,4.03,15.28,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１１號,60.64,住,,,1021006,土地6建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,229.88,3,1,2,有,有,8800000,38281,坡道平面,32.88,0,,RPXPMLNLJIIFFBC97CA,131.84,0.0,6.38,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１１號三樓,69.88,住,,,1021006,土地6建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,265.45,3,1,2,有,有,9250000,34846,坡道平面,32.88,0,,RPOQMLNLJIIFFBC17CA,145.27,4.03,15.28,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１３號,60.64,住,,,1021006,土地6建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,229.8,3,1,2,有,有,9390000,40863,坡道平面,32.88,0,,RPPQMLNLJIIFFBC27CA,131.84,0.0,6.38,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１３號五樓,69.88,住,,,1021006,土地6建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,265.45,3,1,2,有,有,10290000,38764,坡道平面,32.88,0,,RPQQMLNLJIIFFBC37CA,145.27,4.03,15.28,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１５號,55.6,住,,,1021006,土地6建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,211.95,2,1,2,有,有,7950000,37511,坡道平面,32.88,0,,RPRQMLNLJIIFFBC47CA,118.33,0.0,5.13,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１５號三樓,64.0,住,,,1021006,土地6建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,242.88,2,1,2,有,有,8800000,36233,坡道平面,32.88,0,,RPSQMLNLJIIFFBC57CA,130.72,0.0,14.03,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１７號二樓,78.28,住,,,1021006,土地6建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,297.66,3,1,3,有,有,12800000,43002,坡道平面,32.88,0,,RPTQMLNLJIIFFBC67CA,0.0,0.0,0.0,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１７號三樓,78.28,住,,,1021006,土地6建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,297.65999999999997,3,1,3,有,有,12800000,43002,坡道平面,32.88,0,,RPPNMLOLJIIFFBC07CA,161.22,2.51,26.96,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１１７號四樓,78.28,住,,,1021006,土地6建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,297.65999999999997,3,1,3,有,有,12900000,43338,坡道平面,32.88,0,,RPQNMLOLJIIFFBC17CA,161.22,2.51,26.96,,
