鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),桃園縣桃園市寶慶路４２８之２號十一樓,16.82,住,,,1021020,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,134.1,4,2,2,有,有,7350000,54810,,0.0,0,,RPVRMLMJJIIFFAH08CA,83.28,6.09,9.88,,
桃園區,房地(土地+建物),桃園縣桃園市中正路９１９號八樓之六,4.36,住,,,1020919,土地1建物1車位0,八層,二十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840225,52.97,1,1,1,有,有,4200000,79290,,0.0,0,,RPOSMLMJJIIFFAH47CA,31.24,0.0,8.55,,
龜山區,土地,南崁頂段陳厝坑小段13地號,204.5,其他,,,1021018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1370150,6700,,0.0,0,,RPUQMLPJJIIFFAH18CA,0.0,0.0,0.0,,
龜山區,土地,南崁頂段陳厝坑小段39-1地號,301.67,其他,,,1021023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1716786,5691,,0.0,0,,RPPSMLPJJIIFFAH87CA,0.0,0.0,0.0,,
桃園區,土地,星見段983地號,12.46,其他,,,1021031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,112360,,0.0,0,,RPSSMLPJJIIFFAH18CA,0.0,0.0,0.0,,
龜山區,土地,南崁頂段陳厝坑小段39-2地號,150.67,其他,,,1021023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,361601,2400,,0.0,0,,RPXSMLPJJIIFFAH68CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園縣桃園市江南二街２２號,67.14,住,,,1021001,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0631023,106.5,4,2,3,有,無,8000000,75117,,0.0,0,,RPRUMLPJJIIFFAH28CA,106.5,0.0,0.0,,
桃園區,土地,介壽段519地號,297.77,住,,,1020925,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40520000,136078,,0.0,0,,RPSUMLPJJIIFFAH38CA,0.0,0.0,0.0,,
龜山區,房地(土地+建物),桃園縣龜山鄉自強南路２０９號二樓,28.03,住,,,1021024,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690222,74.81,3,1,1,有,無,2750000,36760,,0.0,0,,RPTUMLPJJIIFFAH48CA,74.81,0.0,0.0,,
龜山區,房地(土地+建物),桃園縣龜山鄉萬壽路二段１２４８之４號四樓,20.8,住,,,1021017,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700203,74.6,3,1,1,有,無,2300000,30831,,0.0,0,,RPPQMLPJJIIFFAH67CA,74.6,0.0,0.0,,
桃園區,土地,國聖段1172地號,104.38,其他,,,1021022,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5017715,48072,,0.0,0,包含公共設施保留地之交易。,RPTNMLQJJIIFFAH87CA,0.0,0.0,0.0,,
龜山區,房地(土地+建物),桃園縣龜山鄉光?路千禧新城５０號十樓,30.35,住,,,1021002,土地2建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0910117,180.02999999999997,3,2,2,有,有,5250000,29162,,0.0,0,,RPUNMLQJJIIFFAH97CA,101.2,0.0,13.62,,
桃園區,車位,桃園縣桃園市永安路４０３巷２號,1.57,住,,,1021025,土地0建物0車位3,一層,九層,其他,見其他登記事項,鋼筋混凝土造,0890203,79.96,0,0,0,有,有,1890000,,坡道平面,79.95,1890000,,RPSQMLQJJIIFFAH08CA,0.0,0.0,0.0,,
龜山區,土地,煉油段733地號,3.39,其他,,,1021025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,112800,33274,,0.0,0,包含公共設施保留地之交易。權利人2人,RPWNMLQJJIIFFAH18CA,0.0,0.0,0.0,,
龜山區,房地(土地+建物),桃園縣龜山鄉文化二路７２號七樓之１,9.5,商,,,1021023,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020430,77.26,2,2,1,有,有,8800000,113901,,0.0,0,,RPOPMLQJJIIFFAH57CA,46.28,2.92,4.0,,
龜山區,房地(土地+建物),桃園縣龜山鄉中和路130號五樓,28.23,住,,,1021015,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690626,79.97,3,1,1,有,無,2800000,35013,,0.0,0,,RPWNMLRJJIIFFAH28CA,79.97,0.0,0.0,,
龜山區,土地,南上段865地號,169.43,工,,,1021014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10250000,60497,,0.0,0,,RPRQMLRJJIIFFAH08CA,0.0,0.0,0.0,,
龜山區,房地(土地+建物),桃園縣龜山鄉文康街９４號四樓,26.29,住,,,1020917,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,75.75,2,2,1,有,無,3900000,51492,,0.0,0,,RPSRMLRJJIIFFAH28CA,58.72,1.22,7.79,,
桃園區,土地,大樹林段667-31地號,346.5,其他,,,1021008,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5229000,15091,,0.0,0,公共設施保留地之交易。,RPWRMLRJJIIFFAH68CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園縣桃園市陽明十街１１號二樓,25.98,住,,,1021008,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800701,166.72000000000003,4,2,2,有,有,6500000,38988,,0.0,0,,RPWSMLRJJIIFFAH78CA,125.87,0.0,12.46,,
桃園區,房地(土地+建物),桃園縣桃園市莊二街２１９號六樓,10.65,住,,,1021010,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930220,59.85,2,2,1,有,有,5000000,83542,,0.0,0,,RPRQMLSJJIIFFAH18CA,39.91,0.48,2.32,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市大連四街16之1號八樓,19.44,住,,,1020921,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960629,156.82,3,2,2,有,有,7100000,45275,坡道平面,0.0,0,,RPTOMLLKJIIFFAH57CA,75.46,1.2,8.32,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市龍泉一街３３號十三樓,13.66,住,,,1020930,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020610,124.44,2,1,1,有,無,5900000,47412,坡道平面,0.0,0,,RPPPMLLKJIIFFAH27CA,57.55,0.0,7.35,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市經國路３３６巷４８號八樓,23.22,住,,,1020925,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951215,137.62,2,2,1,有,有,11100000,80657,坡道平面,0.0,0,,RPQPMLLKJIIFFAH37CA,74.23,1.9,7.0,,
桃園區,房地(土地+建物),桃園縣桃園市向善街４８巷１０號二樓,14.17,住,,,1021010,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871215,73.27,2,2,1,有,有,4250000,58005,,0.0,0,,RPRPMLLKJIIFFAH47CA,49.61,0.0,7.64,,
桃園區,土地,國際段80地號,317.85,農,,,1021010,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13268500,41745,,0.0,0,,RPOTMLLKJIIFFAH57CA,0.0,0.0,0.0,,
