鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,土地,老泉段四小段241地號,66.41,其他,,,1030120,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,488122,7350,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLQJKHJFFAA86CA,0.0,0.0,0.0,,
文山區,車位,臺北市文山區景興路191.193.195號房屋地下二樓,0.03,商,,,1030115,土地0建物0車位1,地下二層,十八層,其他,見使用執照,鋼骨鋼筋混凝土造,0831210,38.79,0,0,0,有,有,1570000,,坡道平面,38.79,1570000,,RPQOMLQJKHJFFAA07CA,0.0,0.0,0.0,,
文山區,房地(土地+建物),臺北市文山區光輝路８８號５樓,31.85,住,,,1021216,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710119,104.12,3,2,2,有,無,12700000,121975,,0.0,0,,RPXOMLKKKHJFFAA27CA,85.43,0.0,18.69,,
文山區,房地(土地+建物),臺北市文山區秀明路一段１９巷８號五樓,36.36,住,,,1030107,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691106,130.99,4,1,2,有,無,15300000,116803,,0.0,0,含增建或未登記建物。,RPPNMLNKKHJFFAA66CA,114.06,0.0,16.93,,
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段１１８巷3號十一樓,22.31,商,,,1030110,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0900802,204.26999999999998,4,2,2,有,有,29000000,169607,坡道平面,42.13,1500000,,RPXNMLNKKHJFFAA47CA,98.47,2.06,11.78,,
文山區,房地(土地+建物),臺北市文山區興隆路二段２７５巷１弄２０號十樓,23.39,住,,,1021219,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831018,92.4,2,2,1,有,無,14450000,156385,,0.0,0,,RPROMLOKKHJFFAA07CA,58.94,1.47,7.9,,
大同區,房地(土地+建物),臺北市大同區重慶北路三段１３６巷１９號四樓,17.4,住,,,1030106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680829,65.83,4,0,4,有,無,9400000,142792,,0.0,0,,RPQPMLPJKHJFFBA17CA,52.99,0.0,12.84,,
中正區,房地(土地+建物),臺北市中正區杭州南路一段111巷6號3樓之2,33.86,住,,,1021231,土地2建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730621,157.17000000000002,4,2,2,有,有,36000000,229051,,0.0,0,價格含增建,RPVNMLQJKHJFFBA57CA,116.59,0.0,11.94,,
萬華區,房地(土地+建物),臺北市萬華區西寧南路３６號六樓之３９,5.51,商,,,1021224,土地1建物1車位0,六層,十層,辦公商業大樓,商業用,預力混凝土造,0671215,48.77,0,0,0,無,有,5900000,120976,,0.0,0,,RPOOMLQJKHJFFBA96CA,38.1,0.0,0.0,,
中正區,房地(土地+建物)+車位,臺北市中正區新生南路一段１４號地下一層,7.31,其他,,,1021230,土地2建物1車位1,地下二層,十四層,辦公商業大樓,見使用執照,鋼筋混凝土造,0741210,71.66,0,0,1,有,無,4250000,59300,坡道平面,47.41,0,二親等間買賣,RPXOMLRJKHJFFBA97CA,0.0,0.0,0.0,,
中正區,房地(土地+建物),臺北市中正區新生南路一段１６０巷３之１號五樓,28.23,住,,,1021225,土地1建物1車位0,五層，陽台,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0600318,129.68,3,2,1,有,有,9500000,73257,,0.0,0,權利人共二位 各有  建物持分1/2 土地持分 1/26二等親間買賣,RPTNMLNKKHJFFBA17CA,129.68,0.0,0.0,,
大同區,房地(土地+建物),臺北市大同區迪化街二段２２６號二樓之１,10.84,住,,,1021220,土地1建物1車位0,二層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0700131,48.690000000000005,1,1,1,有,無,2221954,45635,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLRLKHJFFBA37CA,36.83,0.0,1.62,,
中山區,房地(土地+建物),臺北市中山區吉林路369號6樓之23,3.76,住,,,1021231,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681219,23.15,1,1,1,有,有,3930000,169762,,0.0,0,,RPRQMLPJKHJFFCA47CA,18.52,0.0,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區安泰街１２５巷３號四樓,25.85,住,,,1030103,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860116,93.85,2,1,1,有,有,10800000,115077,升降機械,17.45,0,,RPPRMLPJKHJFFCA37CA,52.69,2.55,5.93,,
內湖區,房地(土地+建物),臺北市內湖區金湖路340號2樓之2,10.22,住,,,1030104,土地1建物1車位0,二層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880824,42.93,0,1,1,有,有,9000000,209644,,0.0,0,價格含增建。,RPPNMLQJKHJFFCA07CA,26.3,0.74,2.59,,
中山區,房地(土地+建物),臺北市中山區林森北路１０７巷４６號４樓,6.0,商,,,1021222,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0741023,33.620000000000005,1,1,1,有,有,4680000,139203,,0.0,0,,RPXNMLQJKHJFFCA87CA,23.34,1.19,2.73,,
中山區,房地(土地+建物),臺北市中山區新生北路二段１３７巷８號４樓之１,12.25,住,,,1021228,土地2建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950102,46.66,1,1,1,有,有,8900000,190742,,0.0,0,含增建或未登記建物。,RPUNMLRJKHJFFCA67CA,24.79,0.0,2.86,,
中山區,土地,吉林段三小段873地號,10.49,商,,,1021231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9524040,907916,,0.0,0,,RPTOMLKKKHJFFCA07CA,0.0,0.0,0.0,,
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷２４弄３８號四樓,39.31,工,,,1030113,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0691210,110.22,1,1,1,有,無,16500000,149701,,0.0,0,另有含頂樓加蓋,RPWOMLKKKHJFFCA37CA,92.5,5.87,11.85,,
內湖區,土地,石潭段三小段633地號,3.26,商,,,1030110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2840000,871166,,0.0,0,,RPQNMLOKKHJFFCA07CA,0.0,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區德惠街２９號五樓,22.6,商,,,1021231,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680724,102.37,3,2,2,有,無,18000000,175833,,0.0,0,,RPUPMLSKKHJFFCA08CA,96.02,0.0,6.35,,
內湖區,房地(土地+建物),臺北市內湖區成功路四段４３號７樓,21.1,商,,,1021226,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721024,155.81,3,2,2,有,有,33000000,211796,,0.0,0,,RPSQMLTKKHJFFCA08CA,130.43,0.0,13.99,,
內湖區,車位,臺北市內湖區行善路233號等共有部分,2.17,其他,,,1021231,土地0建物0車位1,,,其他,,,,22.6,0,0,0,有,無,2300000,,坡道平面,22.59,2300000,,RPVNMLPJLHJFFCA67CA,0.0,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區林森北路１５９巷２４號,30.25,商,,,1021218,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),,加強磚造,,94.86,3,2,2,有,無,7500000,79064,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSKLHJFFCA77CA,94.86,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區虎林街232巷53號2樓,29.75,住,,,1021231,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640826,93.98,3,2,2,有,無,20580000,218983,,0.0,0,價格含增建,RPWNMLQJKHJFFDA87CA,93.98,0.0,0.0,,
松山區,房地(土地+建物),臺北市松山區南京東路四段179巷9弄2號3樓,37.5,住,,,1021225,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590307,96.78,3,2,2,有,無,19250000,198905,,0.0,0,價格含增建,RPPPMLQJKHJFFDA37CA,83.2,0.0,13.58,,
松山區,房地(土地+建物),臺北市松山區南京東路五段４６號六樓,20.4,商,,,1030115,土地2建物1車位0,六層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0750117,182.06,0,0,0,無,有,35800000,196638,,0.0,0,,RPUNMLRJKHJFFDA77CA,162.73,0.0,6.8,,
信義區,房地(土地+建物),臺北市信義區祥雲街１７號五樓,33.59,住,,,1021230,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700811,141.86,4,2,2,有,有,16500000,116312,,0.0,0,,RPRQMLRJKHJFFDA77CA,108.88,0.0,11.88,,
信義區,土地,三興段二小段473-1地號,33.52,住,,,1021230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,298329,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLKKKHJFFDA86CA,0.0,0.0,0.0,,
松山區,房地(土地+建物),臺北市松山區敦化北路２４４巷３２號地下樓,1.97,住,,,1021225,土地1建物1車位0,地下層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0681123,150.02,0,0,0,無,無,1531600,10209,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWOMLKKKHJFFDA47CA,0.0,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區松山路５４１巷１７號四樓,46.5,住,,,1021230,土地1建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0591230,126.18,3,2,1,有,無,26000000,206055,,0.0,0,,RPWNMLLKKHJFFDA47CA,126.18,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區基隆路一段366之1號四樓,21.77,住,,,1030102,土地3建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,,109.21000000000001,3,1,1,有,有,24700000,226170,,0.0,0,,RPQQMLNKKHJFFDA37CA,73.68,0.0,10.43,,
南港區,房地(土地+建物),臺北市南港區忠孝東路六段２８５號三樓之５,8.44,工,,,1021223,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960123,37.18,1,1,1,有,無,8500000,228618,,0.0,0,,RPQRMLOKKHJFFDA57CA,21.14,0.0,2.81,,
南港區,土地,中南段二小段613地號,44.27,住,,,1030117,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13644200,308204,,0.0,0,包含公共設施保留地之交易。,RPRNMLQKKHJFFDA47CA,0.0,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區和平東路三段３９１巷２０弄７２號六樓之１,28.32,住,,,1021230,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880906,93.05,3,2,1,有,有,12880000,138420,,0.0,0,,RPPNMLSKKHJFFDA47CA,48.23,10.87,9.84,,
松山區,房地(土地+建物),臺北市松山區南京東路五段２５０巷３６弄１７之１號五樓,21.02,住,,,1030108,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660524,97.56,4,2,2,有,有,20250000,207565,,0.0,0,,RPRPMLSKKHJFFDA87CA,75.16,0.0,13.77,,
松山區,房地(土地+建物),臺北市松山區敦化南路1段100巷47號4樓,22.75,住,,,1021230,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690505,121.49000000000001,3,2,2,有,有,37000000,304552,,0.0,0,,RPVPMLTKKHJFFDA38CA,100.89,0.0,17.9,,
信義區,房地(土地+建物),臺北市信義區仁愛路四段４９６巷５號,14.07,住,,,1021213,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.1,3,1,1,有,無,5600000,81042,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLNJLHJFFDA17CA,57.36,8.38,0.0,,
松山區,房地(土地+建物),臺北市松山區健康路３２５巷６弄３１號四樓,36.17,住,,,1021221,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751020,113.74,4,2,2,有,有,19500000,171444,,0.0,0,,RPROMLNJLHJFFDA27CA,91.89,4.55,9.81,,
松山區,房地(土地+建物),臺北市松山區光復南路３２巷４０號四樓,47.0,住,,,1021218,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0581030,128.33,4,4,4,有,無,25200000,196369,,0.0,0,,RPQPMLNJLHJFFDA27CA,111.06,0.0,17.27,,
信義區,房地(土地+建物),臺北市信義區吳興街５２４巷４５號五樓,32.82,住,,,1021224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720920,108.77000000000001,3,2,2,有,無,19000000,174681,,0.0,0,,RPVOMLOJLHJFFDA77CA,90.93,4.46,4.17,,
北投區,土地,八仙段一小段279地號,50.93,農,,,1030103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2926000,57451,,0.0,0,,RPPRMLPJKHJFFEA57CA,0.0,0.0,0.0,,
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路6７號１３樓,9.44,商,,,1021210,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,147.13,2,2,1,有,有,24300000,165160,坡道平面,45.98,0,本案成交價係屬預售當時之價格。,RPXPMLQJKHJFFEA28CA,59.06,2.28,5.58,,
北投區,房地(土地+建物)+車位,臺北市北投區大業路１６０號四樓,320.61,工,,,1030106,土地1建物4車位11,地下一層,十二層,廠辦,停車空間,鋼筋混凝土造,0901116,1934.79,0,0,0,無,有,188412000,97381,坡道平面,0.0,16500000,,RPOQMLQJKHJFFEA47CA,823.05,0.0,0.0,,
士林區,房地(土地+建物),臺北市士林區承德路四段6巷4號3樓,23.17,住,,,1021226,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670317,78.77,2,2,1,有,無,10900000,138378,,0.0,0,價格含增建,RPRRMLQJKHJFFEA87CA,74.29,0.0,4.48,,
士林區,房地(土地+建物),臺北市士林區德行西路36號5樓之2,8.08,工,,,1021231,土地3建物1車位0,五層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970502,40.730000000000004,1,1,1,有,有,11410000,280137,,0.0,0,價格含增建,RPOSMLKKKHJFFEA17CA,21.39,1.04,4.16,,
士林區,房地(土地+建物),臺北市士林區基河路３０號十三樓之５,7.82,住,,,1030110,土地2建物1車位0,十三層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871211,50.269999999999996,1,1,1,有,有,13180000,262184,,0.0,0,,RPTOMLMKKHJFFEA47CA,34.42,1.02,1.97,,
士林區,房地(土地+建物),臺北市士林區士東路８９巷１１號三樓,32.5,住,,,1021222,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680206,115.46,3,2,2,有,無,19700000,170622,,0.0,0,,RPPNMLSKKHJFFEA57CA,94.98,0.0,20.48,,
士林區,建物,臺北市士林區新園街７５巷２６號,0.0,,,,1030115,土地0建物1車位0,一層,一層,其他,住家用,磚造,0601229,70.09,2,1,2,有,無,7900000,112712,,0.0,0,建物型態為一樓平房，總價含一樓未登記建物及基地承租權之轉讓。,RPXNMLLLKHJFFEA77CA,70.09,0.0,0.0,,
