鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),新北市板橋區重慶路２４５巷９弄５號七樓,13.77,住,,,1040118,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010612,93.83000000000001,2,2,1,有,有,13000000,138548,,0.0,0,,RPQNMLNJKHKFFAF27CA,58.78,4.41,5.46,,
板橋區,房地(土地+建物),新北市板橋區國慶路１４９巷４３弄３號,34.66,住,,,1031213,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721005,111.56,4,2,2,有,無,13750000,123252,,0.0,0,地下室及防火巷有增建地下室無隔間。,RPUOMLNJKHKFFAF77CA,99.98,11.58,0.0,,
板橋區,房地(土地+建物),新北市板橋區民生路二段10之2號12樓,1.85,住,,,1040101,土地1建物1車位0,十二層,二十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860815,37.44,1,0,1,有,有,4750000,126870,,0.0,0,含增建或未登記建物。,RPOQMLNJKHKFFAF37CA,22.53,0.0,5.24,,
土城區,土地,南天母段105地號,228.89,,山坡地保育區,暫未編定,1040126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,879221,3841,,0.0,0,山坡地保育區,RPSNMLOJKHKFFAF57CA,0.0,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區中正路１３５巷１１號四樓,26.75,住,,,1031204,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690419,69.93,4,2,2,有,無,7600000,108680,,0.0,0,頂樓增建,RPROMLTJKHKFFAF08CA,69.93,0.0,0.0,,
土城區,房地(土地+建物),新北市土城區福祥街101巷5號3樓,47.38,住,,,1031220,土地1建物1車位0,三層，四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780619,179.19,4,3,3,有,有,13800000,77013,,0.0,0,,RPUNMLLKKHKFFAF57CA,130.15,16.16,21.06,,
土城區,房地(土地+建物),新北市土城區明德路二段１５１號三樓之二,12.21,住,,,1040105,土地3建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.95,3,2,2,有,有,12500000,128932,,0.0,0,,RPXOMLMKKHKFFAF08CA,74.71,0.0,15.63,,
板橋區,房地(土地+建物),新北市板橋區三民路一段６４之１號,67.5,工,,,1031212,土地1建物3車位0,二層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0631230,236.31,5,4,3,有,無,12000000,50781,,0.0,0,1.親友間買賣。,RPOQMLMKKHKFFAF37CA,236.31,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區南雅南路一段７巷２２弄１０之４號,24.8,住,,,1031230,土地2建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.01,4,2,2,有,無,11000000,127892,,0.0,0,含增建。,RPTNMLNKKHKFFAF67CA,86.01,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區大觀路二段１７４巷１７９弄５之３號,16.62,住,,,1031231,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,63.7,3,2,1,有,無,6700000,105181,,0.0,0,,RPOPMLNKKHKFFAF37CA,55.9,0.0,7.8,,
土城區,房地(土地+建物),新北市土城區青山路３巷３號五樓,20.32,住,,,1031218,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710617,58.8,2,2,1,有,無,5300000,90136,,0.0,0,,RPSOMLQKKHKFFAF97CA,44.84,0.0,13.96,,
板橋區,房地(土地+建物),新北市板橋區忠孝路４８巷４弄６３之２號二樓,29.6,住,,,1031230,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721202,80.0,3,2,1,有,無,8750000,109375,,0.0,0,,RPWPMLNKKHKFFAF18CA,72.44,0.0,7.56,,
土城區,房地(土地+建物),新北市土城區學成路９４巷９弄１５號六樓之一,11.01,住,,,1031230,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820715,62.4,2,2,1,有,有,7500000,120192,,0.0,0,,RPPNMLRKKHKFFAF67CA,38.86,0.0,3.07,,
板橋區,房地(土地+建物),新北市板橋區南雅南路一段１１０號九樓,17.76,住,,,1031220,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890117,157.21,3,2,2,有,無,20000000,127218,,0.0,0,,RPSOMLMJLHKFFAF57CA,117.06,1.06,17.91,,
五股區,土地,更寮段鴨母港小段25-2地號,35.46,,一般農業區,交通用地,1040113,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2392790,67479,,0.0,0,,RPTTMLNJKHKFFBF28CA,0.0,0.0,0.0,,
新莊區,房地(土地+建物),新北市新莊區中港路５８巷１２號四樓,36.67,住,,,1031230,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680821,121.42,3,2,2,有,無,9300000,76594,,0.0,0,,RPOUMLNJKHKFFBF87CA,121.42,0.0,0.0,,
五股區,土地,五股坑段冷水坑小段40-146地號,347.0,其他,,,1031221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6300000,18156,,0.0,0,,RPUOMLOJKHKFFBF97CA,0.0,0.0,0.0,,
林口區,土地,小南灣段頂福小段1206地號,4369.0,其他,,,1040122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14140000,3236,,0.0,0,,RPXNMLPJKHKFFBF28CA,0.0,0.0,0.0,,
新莊區,房地(土地+建物),新北市新莊區萬安街１號十一樓之十一,4.97,住,,,1040110,土地1建物1車位0,十一層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970418,43.18,1,1,1,有,有,4500000,104215,,0.0,0,,RPQQMLPJKHKFFBF87CA,27.34,0.0,0.0,,
新莊區,房地(土地+建物)+車位,新北市新莊區昌德街１６３號九樓,13.43,住,,,1020725,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031112,96.17,1,1,1,有,有,14150000,167641,升降機械,19.22,1250000,,RPUNMLQJKHKFFBF08CA,47.39,0.0,3.89,,
新莊區,房地(土地+建物),新北市新莊區新北大道七段６１０號八樓,9.58,住,,,1031217,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921127,86.14999999999999,2,2,1,有,有,8000000,92861,,0.0,0,,RPVNMLQJKHKFFBF18CA,60.09,1.28,3.29,,
