,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
0,1,信義區,房地(土地+建物),基隆市信義區深澳坑路2之5號11樓之7,6.93,住,,,1081025,土地4建物1車位0,十一層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850426,40.28,1,0,1,有,有,1450000,35998,,0.0,0,,RPWNMLLKJIOFFBC97CA,26.8,0.0,3.72,無,,23.0,108,False,11,16,121.77335749999999,25.1365647
1,2,仁愛區,房地(土地+建物),基隆市仁愛區仁一路95巷22號,21.2,住,,,1081028,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691113,54.99,3,1,1,有,無,3150000,57283,,0.0,0,含增建或未登記建物。；,RPPNMLMKJIOFFBC37CA,54.99,0.0,0.0,無,,39.0,108,False,1,5,121.75345600000001,25.127175999999995
2,3,信義區,房地(土地+建物),基隆市信義區信二路74巷14號,67.0,住,,,1080920,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0590127,63.26,2,1,2,有,無,2200000,34777,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLNKJIOFFBC77CA,63.26,0.0,0.0,無,,49.0,108,False,1,2,121.756729,25.130647099999997
3,4,信義區,房地(土地+建物),基隆市信義區深澳坑路172巷87之5號2樓,25.37,住,,,1081018,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870610,99.08,3,2,2,有,無,2900000,29269,,0.0,0,,RPUNMLPKJIOFFBC18CA,72.2,0.0,10.02,無,,21.0,108,False,2,5,121.78611169999998,25.124759999999995
4,5,仁愛區,房地(土地+建物),基隆市仁愛區曲水街22巷3號,42.0,住,,,1080927,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0561101,67.0,2,3,1,有,無,3450000,51493,,0.0,0,含增建或未登記建物。,RPQNMLTKJIOFFBC18CA,67.0,0.0,0.0,無,,52.0,108,False,1,2,121.7433834,25.1191891
5,6,信義區,房地(土地+建物),基隆市信義區深溪路38巷5之1號三樓,29.26,住,,,1081019,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,99.38999999999999,3,1,1,有,有,6000000,60368,,0.0,0,,RPQNMLMLJIOFFBC57CA,59.07,2.03,4.86,有,,2.0,108,False,3,10,121.78262830000001,25.1321846
6,7,仁愛區,房地(土地+建物),基隆市仁愛區忠三路10號,115.0,商,,,1081015,土地7建物7車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810907,742.18,6,3,10,有,無,37500000,50526,,0.0,0,1樓開放空間+1衛；2樓2房1廳2衛；3樓2房1廳2衛；4樓2房1廳2衛；5樓開放空間+1衛；6樓開放空間+1衛；7樓開放空間+1衛,RPSNMLQLJIOFFBC18CA,592.66,15.31,21.18,有,,27.0,108,False,2,7,121.7403521,25.1288861
7,8,信義區,房地(土地+建物),基隆市信義區孝東路120之3號四樓,18.8,住,,,1080924,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,137.83,3,2,2,有,有,7900000,57317,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPWNMLNJKIOFFBC18CA,83.18,1.09,11.29,有,,2.0,108,False,4,15,121.7803128,25.1283854
8,9,信義區,房地(土地+建物)+車位,基隆市信義區孝東路120號十三樓,14.24,住,,,1081008,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,133.42000000000002,2,1,1,有,有,8260000,69563,坡道平面,31.21,1150000,土地及建物分次登記案件。前案土地登記收件字號：；,RPXNMLNJKIOFFBC28CA,62.87,0.0,7.83,有,,2.0,108,False,13,15,121.7803128,25.1283854
9,10,信義區,房地(土地+建物),基隆市信義區孝東路118之1號二樓,13.96,住,,,1081012,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,102.91,2,1,1,有,有,6750000,65591,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPOOMLNJKIOFFBC47CA,62.87,0.0,7.83,有,,2.0,108,False,2,15,121.7802939,25.128386499999998
