,機構名稱,權屬別,型態別,地址,修正地址,lon,lat
0,道民中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市開封街449號,False,121.14315470000001,22.7633363
1,大春中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市中華路二段一七六號,True,121.1380473,22.7444049
2,陳靜婉中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市中正路271號,False,121.1530229,22.7559129
3,景春中醫診所,私立中醫診所,中醫診所,臺東縣台東市中正路222號1樓,False,121.15429040000001,22.7552119
4,普賢中醫診所,私立中醫診所,中醫診所,臺東縣台東市知本路三段583號,False,121.0429353,22.706715099999997
5,宏霖中醫診所,私立中醫診所,中醫一般診所,臺東縣成功鎮三民路三二號,True,121.36998810000001,23.101478300000004
6,福壽堂中醫診所,私立中醫診所,中醫一般診所,臺東縣池上鄉新生路一三四號,True,121.21892019999999,23.123321500000003
7,弘恩中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮民生路15－3號,False,118.31981235,24.433746599999996
8,廣濟中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮浯江路19號,False,118.325541,24.425866000000003
9,基督復臨安息日會醫療財團法人臺安診所,醫療財團法人診所,西醫診所,臺北市大安區敦化南路二段76號11樓、11樓之1、11樓之2、11樓之3,False,121.54817270000001,25.0291619
10,有全醫療社團法人景美牙醫診所,醫療社團法人診所,牙醫診所,臺北市文山區景美街20號3樓,False,121.5418601,24.991384299999996
11,和平醫療社團法人章玟琇中醫診所,醫療社團法人診所,中醫診所,高雄市三民區九如一路171號1樓,False,120.33947429999999,22.636813999999998
12,有全醫療社團法人有全牙醫診所,醫療社團法人診所,牙醫診所,新北市新店區北新路二段164號1樓,False,121.54312900000001,24.975619899999998
13,聯合病理中心,醫療財團法人其他醫療機構,病理中心,高雄市鼓山區中華一路223號12樓,False,120.293005,22.662564
14,高柏病理中心,醫療財團法人其他醫療機構,病理中心,高雄市左營區大中二路五六六號一．二樓,True,120.30914779999999,22.6827977
15,世昌中醫診所,私立中醫診所,中醫一般診所,屏東縣麟洛鄉民權路9號,False,120.52611900000001,22.651891099999997
16,聖德昌中醫診所,私立中醫診所,中醫一般診所,屏東縣里港鄉中山路102號,False,120.4944711,22.778972
17,大仁中醫診所,私立中醫診所,中醫一般診所,屏東縣鹽埔鄉新二村維新路52之3號,False,120.55484510000001,22.7383885
18,銓泰中醫診所,私立中醫診所,中醫一般診所,屏東縣內埔鄉南寧路209號,False,120.5616948,22.6198232
19,平安中醫診所,私立中醫診所,中醫診所,屏東縣內埔鄉南寧路196號,False,120.5620845,22.619841199999996
20,崇益中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉中山路246-5號,False,120.5936345,22.368222299999996
21,惠鳴中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉中山路二段250號,False,120.5950678,22.383918800000004
22,振德中醫診所,私立中醫診所,中醫一般診所,屏東縣南州鄉仁里村人和路52號,False,120.50998600000001,22.489203399999997
23,張世材中醫診所,私立中醫診所,中醫診所,屏東縣佳冬鄉石光村中山路150號,False,120.56287460000001,22.434018899999998
24,立群中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區紅毛港路157號1樓,False,120.34304350000001,22.5870337
25,長榮中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區五甲二路566、568號,False,120.33288370000001,22.596411800000002
26,多寶中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區經武路二七一號,True,120.36421639999999,22.637698399999998
27,建安中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區五甲二路五五三號,True,120.33169919999999,22.595728500000003
28,心香中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區八德路二段222號,False,120.3529704,22.645726900000003
29,順德中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區新富路292號1樓,False,120.34183329999999,22.6126807
30,甘草堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區文化西路1號及3號1、2樓,False,120.3498149,22.634688
31,吉祥中醫聯合診所,私立中醫診所,中醫診所,臺南市永康區埔園里龍埔街472號,False,120.25687250000001,23.035051799999998
32,健宏中醫聯合診所,私立中醫診所,中醫診所,臺南市永康區埔園里四維街2號,False,120.25329440000002,23.031157
33,忠義中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區蔦松里蔦松一街29號,False,120.25838580000001,23.044079000000004
34,同心堂中醫診所,私立中醫診所,中醫診所,臺南市永康區永康里永大路二段1162號,False,120.26231729999999,23.019713
35,江銘酌中醫診所,私立中醫診所,中醫診所,臺南市永康區五王里振興路88號1樓,False,120.23486240000001,23.012138200000003
