,交易年份,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,HOSPITAL_COUNT,CSTORE_COUNT,NEAR_UNIVERSITY,NEAR_FIRESTATION,NEAR_FUEL,NEAR_LIBRARY,NEAR_MARKET,PARK_AREA,PARKING_AREA,TEMPLE_COUNT,NEAR_POLICE,NEAR_SCHOOL,NEAR_STATION,單價元平方公尺
0,111,39,3,2,2,1,21.0,19.0,0.0,1.0,1.0,1.0,1.0,72085.78510690921,32795.0065265668,5,1.0,1.0,0.0,177928
1,111,38,3,2,1,0,46.0,23.0,0.0,1.0,1.0,0.0,1.0,7282.581499977934,7042.418822953286,8,1.0,1.0,1.0,293629
2,111,51,3,2,2,0,13.0,14.0,0.0,1.0,0.0,1.0,0.0,7010.7724326806,7515.068723428118,5,1.0,1.0,0.0,163067
3,111,57,4,2,2,0,18.0,23.0,0.0,1.0,0.0,1.0,0.0,5124.603136269767,9466.999923715495,7,0.0,1.0,0.0,323197
4,111,21,1,1,1,1,71.0,27.0,0.0,0.0,1.0,1.0,1.0,14111.007333514957,6156.0163497728145,16,1.0,1.0,1.0,279013
5,111,14,1,1,1,1,55.0,30.0,0.0,1.0,1.0,1.0,1.0,17981.07541066638,19517.237348677674,12,1.0,1.0,1.0,276590
6,111,27,1,1,1,1,66.0,42.0,1.0,1.0,0.0,1.0,1.0,12259.765669927552,7824.050064609662,21,1.0,1.0,1.0,193108
7,111,50,2,1,1,0,11.0,14.0,0.0,1.0,0.0,1.0,1.0,6391.383315508163,9334.974415368728,5,1.0,1.0,0.0,175778
8,111,43,2,1,1,1,74.0,38.0,0.0,1.0,1.0,0.0,1.0,24722.536834902774,8377.677286626835,27,1.0,1.0,1.0,165354
9,111,44,3,2,2,1,46.0,26.0,1.0,0.0,1.0,0.0,1.0,73351.26917926183,29343.835700812102,2,0.0,1.0,0.0,195539
10,111,47,4,2,2,0,89.0,42.0,0.0,1.0,0.0,1.0,1.0,48655.61153346239,6071.156452395927,12,1.0,1.0,1.0,205936
11,110,47,1,1,1,1,78.0,42.0,0.0,0.0,1.0,0.0,0.0,56830.71366601459,26110.401499845655,13,1.0,1.0,0.0,198152
12,111,36,4,3,2,1,64.0,24.0,1.0,0.0,0.0,0.0,1.0,45247.888184665215,7665.599757800167,3,1.0,1.0,1.0,226853
