鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),臺北市文山區試院路１５４巷２弄２３號,25.36,住,,,1100911,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750321,82.19,6,1,2,有,無,8800000,107069,,0.0,0,陽台外推；其他增建；,RPWOMLOJJIGGFAA37DA,66.34,4.06,6.91,無,
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路１０７巷８號十樓,42.56,住,,,1101030,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010919,262.14,4,2,2,有,有,43880000,167391,坡道平面,68.34,0,其他增建；,RPUNMLKKJIGGFAA76DA,114.34,12.62,8.31,有,0001
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路３號四樓之２,16.28,住,,,1101021,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881124,68.39,1,1,1,有,有,10700000,202109,升降機械,22.87,1500000,陽台外推；其他增建；,RPWOMLNLJIGGFAA47DA,31.59,0.0,4.9,有,
文山區,房地(土地+建物),臺北市文山區木柵路一段３號五樓之１,20.24,住,,,1101025,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720309,132.25,8,0,8,有,有,22000000,166352,,0.0,0,,RPTNMLQLJIGGFAA37DA,98.76,14.76,0.0,有,0002
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路五段５２號九樓,17.93,住,,,1101113,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060823,87.03,1,1,1,有,有,16900000,194186,坡道機械,13.57,0,夾層；其他增建；,RPSNMLTLJIGGFAA57DA,36.38,4.44,4.36,有,0003
中正區,房地(土地+建物),臺北市中正區寧波西街６３號三樓,15.5,商,,,1101122,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,53.49,1,1,1,有,無,13900000,259862,,0.0,0,,RPOOMLSJKIGGFAA07DA,53.49,0.0,0.0,無,
中正區,房地(土地+建物),臺北市中正區南昌路一段１２５巷１４號三樓,41.99,住,,,1101108,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741004,114.91,2,2,2,有,無,26450000,230180,,0.0,0,陽台外推；,RPTOMLSJKIGGFAA57DA,99.06,0.0,15.85,無,
文山區,房地(土地+建物),臺北市文山區指南路三段３４巷１２之１號,641.0,都市：其他:保護區。,,,1101031,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0841009,200.73,3,2,4,有,無,35000000,174364,,0.0,0,,RPXOMLSJKIGGFAA97DA,169.11,31.62,0.0,無,
文山區,房地(土地+建物)+車位,臺北市文山區景豐街４８巷２３號三樓,91.59,住,,,1101126,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010711,251.31,4,2,3,有,有,48500000,192989,坡道平面,25.3,0,,RPOQMLSJKIGGFAA27DA,136.51,5.53,15.6,有,
文山區,房地(土地+建物),臺北市文山區仙岩路２２巷２１號八樓,28.44,住,,,1101103,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840411,124.25,3,2,2,有,有,23300000,187525,,0.0,0,陽台外推；,RPTNMLTJKIGGFAA57DA,92.47,1.14,10.42,有,
