,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,NEAR_CEMETERY,NEAR_UNIVERSITY,NEAR_FIRESTATION,NEAR_FUEL,NEAR_LIBRARY,NEAR_MARKET,PARK_AREA,PARKING_AREA,TEMPLE_COUNT,NEAR_POLICE,NEAR_SCHOOL,NEAR_STATION,HOSPITAL_COUNT,CSTORE_COUNT,單價元平方公尺
0,37,3,2,2,1,0,1,0,0,1,1,19653.3072386226,13775.4256984368,8,0,1,1,56,25,245443
1,37,2,2,2,1,0,1,0,0,1,1,20919.3331983529,12957.8532825706,11,0,1,1,73,26,257275
2,36,5,4,2,1,0,1,1,0,1,1,23525.4776758254,27422.414906016,14,0,1,1,66,19,314764
3,43,3,1,2,1,0,0,0,0,1,0,2238.02479691915,12636.2930734173,4,0,1,1,122,28,286978
4,35,5,3,4,0,0,1,0,0,1,1,12067.008461926,6957.97327261167,9,1,1,0,44,10,228840
5,41,2,2,1,1,0,0,0,0,1,0,5445.80814065376,5745.70006659353,4,0,1,1,176,38,315266
6,53,4,2,2,0,0,1,0,0,1,1,17436.8139744932,13616.9802960715,9,0,1,1,52,21,258118
7,33,1,0,1,1,0,1,0,0,1,1,7324.03472912582,6696.6399484869,17,0,1,1,88,20,265969
8,37,3,2,2,1,0,1,0,0,1,1,23049.2940116782,11844.8891150101,12,0,1,1,71,24,251708
9,43,1,1,1,1,0,0,0,0,1,0,13921.133429297,16832.7001775214,7,1,1,1,121,18,340426
10,51,4,2,3,1,0,1,0,1,0,1,8560.81016006034,13211.704840088,6,0,1,1,88,19,229647
11,40,3,2,1,0,0,1,0,0,1,1,8726.41502743394,14156.2632001454,6,1,1,1,133,21,238686
12,44,3,2,2,1,0,0,0,1,1,1,19485.4137103208,12807.795383147,8,0,0,0,90,23,288344
13,4,1,1,1,1,0,1,0,1,0,1,145535.693811086,14992.7105316242,9,1,1,0,32,9,364282
14,15,1,1,1,1,0,0,0,1,1,1,122772.99695081,37207.0407890326,3,1,1,1,40,11,433213
15,38,4,2,2,1,0,0,1,1,0,1,17239.4608195451,10270.2292138296,11,1,1,1,85,24,302590
16,43,4,2,2,0,0,1,0,0,1,1,12300.2869850376,8297.80067047686,10,1,1,1,52,13,239253
