,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,y,0
0,111,46.0,0,3,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.0,22.0,0.0,2.0,10.0,0.0,1.0,11.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,4.0,14.0,23891.23424261927,97775.01780733056,181175.0728225412,57505.61561548312,111716.55351582724,135391.03076575283,0.0,0.0,0.0,309.3656645916174,14594.31112695592,31011.94683552585,0.0,7.0,32.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,158716,163581.03
1,111,25.0,0,3,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,3.0,19.0,0.0,1.0,8.0,0.0,1.0,8.0,2.0,6.0,16.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,0.0,1.0,2.0,0.0,0.0,0.0,84576.0329066758,319866.05739174807,674546.2581135312,9467.4194017491,132362.15223450688,251203.29089993783,10100.704714327228,47889.36148779029,111905.4197574188,2.0,9.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138183,138762.06
2,111,12.0,1,3,2,2,1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,4.0,21.0,59.0,3.0,10.0,26.0,1.0,7.0,28.0,2.0,17.0,45.0,0.0,2.0,5.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,5.0,9.0,19.0,0.0,0.0,0.0,0.0,6565.362007043803,35762.91003452883,0.0,0.0,0.0,2328.0328455998088,14051.568741316432,19146.02356690687,9.0,31.0,74.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,186903,166149.39
3,111,40.0,0,2,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2.0,8.0,18.0,1.0,6.0,11.0,1.0,5.0,9.0,1.0,9.0,15.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,1,6.0,11.0,17.0,0.0,0.0,0.0,1067.4210423724203,15396.553355355623,268931.04504155857,0.0,33402.74624110348,143609.59714681385,1401.0916687610518,8435.851043239436,22042.147309315416,0.0,20.0,41.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,151281,142799.56
4,111,53.0,0,3,2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,8.0,15.0,2.0,5.0,9.0,0.0,4.0,9.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,2.0,6.0,0.0,0.0,0.0,63700.07483685567,143624.23804092524,246557.72038619444,0.0,0.0,50378.58581002053,4515.178430923019,9208.447556392308,40436.21199944598,0.0,7.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110137,112741.484
5,111,10.0,1,2,1,1,1,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,2.0,19.0,40.0,1.0,8.0,20.0,3.0,8.0,14.0,20.0,40.0,60.0,3.0,3.0,5.0,3.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,1.0,5.0,13.0,0.0,0.0,0.0,1398.7963700215232,36152.28118798917,135709.61977927227,0.0,14080.139436097586,204470.0175176746,12555.15030441726,37225.06925196768,52961.49675148671,7.0,34.0,60.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206479,204780.05
6,111,24.0,1,3,2,2,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,5913.924639585847,20774.05498920482,34097.971638881114,5495.042789666243,12390.034534523104,74166.01406580064,1861.8753419257623,33158.7349996808,61270.88283640584,0.0,887.7236100551877,13197.03532975824,3.0,5.0,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159408,153292.45
7,111,38.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1.0,14.0,24.0,1.0,9.0,20.0,0.0,6.0,7.0,2.0,12.0,31.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,1.0,3.0,6.0,0.0,0.0,0.0,18152.32124085463,35653.29830843284,60262.42802600789,0.0,0.0,0.0,5067.46606956144,7505.106356994198,36765.91046071199,3.0,10.0,28.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,157252,173242.36
8,111,17.0,1,3,2,2,1,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,10.0,31.0,40.0,6.0,22.0,32.0,2.0,14.0,21.0,8.0,17.0,23.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,3.0,8.0,14.0,0.0,27529.74908087495,27529.74908087495,40287.95708700038,86989.11630460626,106053.0746060209,0.0,0.0,0.0,9323.143372297383,13989.545468726566,19918.56437290563,10.0,29.0,51.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,232642,248090.69
9,111,35.0,0,2,1,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,23.0,1.0,4.0,17.0,2.0,3.0,10.0,4.0,6.0,15.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,5.0,12.0,24.0,0.0,0.0,21521.615900257773,4920.686916666456,8825.794248124841,100271.93134538272,0.0,0.0,15781.901536756168,6441.428002491382,8182.835360110241,27760.12148741204,3.0,11.0,34.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,152755,156102.7
