,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_500,NEAR_TRA_750,y,0
0,111,38.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1.0,14.0,24.0,1.0,9.0,20.0,0.0,6.0,7.0,2.0,12.0,31.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,1.0,3.0,6.0,0.0,0.0,0.0,18152.32124085463,35653.29830843284,60262.42802600789,0.0,0.0,0.0,5067.46606956144,7505.106356994198,36765.91046071199,3.0,10.0,28.0,0,0,1,0,0,157252,178568.45
1,111,17.0,1,3,2,2,1,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,10.0,31.0,40.0,6.0,22.0,32.0,2.0,14.0,21.0,8.0,17.0,23.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,3.0,8.0,14.0,0.0,27529.74908087495,27529.74908087495,40287.95708700038,86989.11630460626,106053.0746060209,0.0,0.0,0.0,9323.143372297383,13989.545468726566,19918.56437290563,10.0,29.0,51.0,1,1,1,0,0,232642,231694.52
2,111,35.0,0,2,1,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,23.0,1.0,4.0,17.0,2.0,3.0,10.0,4.0,6.0,15.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,5.0,12.0,24.0,0.0,0.0,21521.615900257773,4920.686916666456,8825.794248124841,100271.93134538272,0.0,0.0,15781.901536756168,6441.428002491382,8182.835360110241,27760.12148741204,3.0,11.0,34.0,0,0,1,0,0,152755,153094.19
3,111,25.0,0,2,2,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,3.0,11.0,17.0,4.0,8.0,12.0,2.0,4.0,7.0,5.0,11.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,1238.8729822544692,14332.410359710346,30502.156858021597,0.0,0.0,0.0,1443.7972029225775,4202.686219074534,9635.385860720982,4.0,15.0,25.0,1,1,1,0,0,227800,212799.81
4,111,35.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,2.0,0.0,0.0,57557.94477417184,2641.776121898192,4028.808617403655,6246.463322979188,0.0,0.0,0.0,2406.816568657608,2406.816568657608,6728.290023026361,4.0,18.0,28.0,0,0,0,0,0,138959,113518.07
5,111,15.0,0,1,1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,2.0,5.0,11.0,2.0,5.0,6.0,1.0,2.0,2.0,5.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,1.0,2.0,3.0,0.0,0.0,0.0,6135.370501086085,16215.459063396962,62253.27627238137,0.0,0.0,0.0,532.4856520334642,14793.04214975233,45630.18879564236,6.0,14.0,28.0,0,0,0,0,0,224832,208530.0
6,111,42.0,0,4,0,4,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0.0,13.0,34.0,3.0,11.0,23.0,3.0,7.0,16.0,4.0,15.0,18.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,1,1,4.0,13.0,19.0,0.0,23450.401875945012,27529.74908087495,3590.7911793525427,9895.533802525946,85276.88236472315,0.0,0.0,1170.1290398122103,3435.1297773677707,22168.2002754792,22899.70251322948,9.0,19.0,37.0,0,1,1,0,0,134425,121852.43
7,111,42.0,0,3,2,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,3.0,15.0,0.0,4.0,20.0,1.0,1.0,6.0,1.0,6.0,16.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1.0,1.0,7.0,0.0,0.0,0.0,10666.993940841923,78424.67645610697,194561.0129296065,0.0,19983.442022938525,66815.79074100568,0.0,0.0,8442.436128857697,3.0,9.0,22.0,0,0,1,0,0,152051,151988.23
8,111,10.0,1,2,2,1,1,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1.0,5.0,15.0,0.0,4.0,9.0,1.0,2.0,8.0,3.0,10.0,17.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,0.0,2.0,4.0,0.0,4795.970204204985,59563.76877050239,3963.5293184516886,6499.96735103056,23797.196370297195,0.0,0.0,0.0,0.0,11092.931589777694,28269.161460266267,4.0,18.0,32.0,0,0,0,0,0,197586,167057.8
9,111,0.0,1,3,2,2,1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,9.0,23.0,26.0,5.0,12.0,15.0,4.0,6.0,11.0,5.0,17.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1.0,4.0,6.0,0.0,0.0,0.0,50552.71650089632,125574.28457993748,166884.953795988,0.0,64107.127330151285,108905.8651727586,2236.17962155113,16702.288599809403,41700.49122025541,4.0,11.0,24.0,0,0,1,0,0,177250,221887.88
