,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_500,NEAR_TRA_750,y,0
0,111,40.0,0,2,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2.0,8.0,18.0,1.0,6.0,11.0,1.0,5.0,9.0,1.0,9.0,15.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,6.0,11.0,17.0,1067.4210423724203,15396.553355355623,268931.04504155857,0.0,33402.74624110348,143609.59714681385,1401.0916687610518,8435.851043239436,22042.147309315416,0.0,20.0,41.0,0,1,1,0,0,151281,156764.38
1,111,47.0,0,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.0,21.0,0.0,1.0,11.0,0.0,2.0,8.0,1.0,7.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,3.0,9.0,15.0,4099.000627681225,89114.98435039475,265955.1442481932,0.0,91978.20077260924,168451.6477964102,2845.9029778929685,14758.80167681206,23096.249096859065,2.0,14.0,37.0,0,1,1,0,0,201518,149933.08
2,111,33.0,0,1,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,3.0,11.0,37.0,1.0,11.0,16.0,1.0,3.0,9.0,4.0,11.0,23.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,4.0,10.0,16.0,66368.67929923734,170119.4047166175,251733.6699636909,8405.4001749388,189268.1927410917,557070.4027916655,2345.434971170285,15378.10887453252,22492.593155920807,6.0,22.0,44.0,0,0,1,0,0,181892,130513.516
3,111,1.0,1,0,1,2,1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,10.0,30.0,64.0,3.0,15.0,29.0,2.0,7.0,13.0,8.0,21.0,43.0,1.0,3.0,8.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1,1,4.0,11.0,18.0,1975.880157256848,21396.75534724159,195641.20176000107,0.0,0.0,0.0,2421.8818092570204,19735.29257131597,60729.271609093375,13.0,33.0,120.0,0,1,1,0,1,244688,189026.11
4,111,37.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2.0,7.0,14.0,0.0,7.0,9.0,1.0,5.0,9.0,1.0,6.0,15.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2.0,11.0,14.0,10558.1983331207,86981.13289515881,186634.2927061937,0.0,3407.552335889165,312671.0723899229,0.0,9674.136985181718,25428.24234222876,6.0,16.0,30.0,0,0,0,0,0,141651,135845.38
5,111,39.0,0,2,2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,3.0,22.0,41.0,5.0,14.0,25.0,2.0,7.0,13.0,5.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,3.0,11.0,28.0,560.8780604664228,29321.90565999024,77811.22193689621,0.0,65356.55875306657,355416.5308631975,5621.704399196689,14210.620075063189,22606.463902872085,9.0,23.0,48.0,1,1,1,0,0,169036,193558.3
6,111,39.0,0,0,1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,8.0,24.0,50.0,3.0,16.0,26.0,2.0,8.0,12.0,5.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1,1,4.0,10.0,20.0,3207.1945864052414,43219.46830552967,98692.75718844202,0.0,86065.35057832744,378431.261196688,5837.974492082174,15473.126898566388,20362.039315039638,8.0,23.0,49.0,0,1,1,0,0,184447,175986.69
7,111,1.0,1,2,2,1,1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1.0,10.0,25.0,2.0,5.0,12.0,0.0,4.0,12.0,2.0,12.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,3.0,7.0,27.0,13742.006733624969,31535.80350279746,71202.54393324208,36071.02292192882,262434.8477787946,474846.4266809591,4472.35924310226,11681.829376910331,16406.80406790696,4.0,15.0,35.0,0,1,1,0,0,222491,166210.31
8,111,3.0,1,4,2,2,1,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,3.0,22.0,39.0,5.0,13.0,24.0,2.0,7.0,12.0,5.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,4.0,9.0,27.0,55.558845891784415,31388.85412363764,75611.51288977847,0.0,83684.49737493071,378091.67245531856,7015.234694760381,14593.153955486694,21904.881314261314,9.0,23.0,47.0,1,1,1,0,0,246717,240288.48
9,111,43.0,0,3,2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,4.0,24.0,42.0,5.0,12.0,22.0,2.0,6.0,10.0,5.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0,1,5.0,9.0,27.0,0.0,36048.27011235626,82477.3234577181,0.0,108164.23770733924,404791.8013140962,7242.485819669057,13244.260927264835,21510.64845857144,9.0,23.0,48.0,1,1,1,0,0,144564,140105.22
