,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_750,y,0
0,111,37.0,0,3,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,9.0,32.0,69.0,6.0,24.0,57.0,3.0,11.0,24.0,5.0,25.0,44.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0.0,1.0,8.0,0.0,0.0,0.0,3153.657218555244,19739.396092627307,48122.12588035773,0.0,0.0,0.0,4801.207778649867,28394.322659405232,48622.77667900534,7.0,24.0,44.0,0,1,1,0,245443,273164.16
1,111,37.0,0,2,2,2,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,12.0,38.0,68.0,7.0,35.0,62.0,6.0,10.0,24.0,6.0,26.0,46.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0.0,2.0,6.0,0.0,0.0,0.0,3205.9286888318848,21905.0401510656,50931.09096919146,0.0,0.0,0.0,2195.9440149019206,22755.66613373063,44851.68197080467,4.0,26.0,41.0,0,1,1,0,257275,247510.22
2,111,36.0,0,5,4,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,13.0,31.0,85.0,8.0,35.0,55.0,4.0,10.0,19.0,7.0,19.0,37.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,0.0,1.0,1.0,1.0,1.0,0,0,1,1.0,3.0,4.0,0.0,0.0,0.0,7605.23652174482,24511.837339653142,179020.32974465436,0.0,0.0,0.0,0.0,34075.38916876353,63884.348217222585,5.0,17.0,40.0,1,1,1,0,314764,262462.9
3,111,43.0,0,3,1,2,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,27.0,80.0,156.0,9.0,41.0,78.0,1.0,5.0,24.0,7.0,28.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,2.0,7.0,0.0,0.0,0.0,9764.67575905847,129753.9676893694,174430.56267121632,0.0,6020.544638011215,6020.544638011215,4370.319008201683,19868.455943677294,38323.43770129305,7.0,19.0,43.0,1,1,1,0,286978,308262.97
4,111,35.0,0,5,3,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,10.0,25.0,75.0,6.0,19.0,52.0,4.0,6.0,11.0,6.0,11.0,37.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,3.0,4.0,9.0,0.0,0.0,0.0,4383.011198617096,15726.03899929534,125988.12090016874,0.0,0.0,0.0,1084.909242339371,15124.079793582983,34106.926031040246,3.0,16.0,52.0,0,1,1,0,228840,218568.81
5,111,41.0,0,2,2,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,29.0,114.0,203.0,16.0,60.0,90.0,5.0,14.0,23.0,10.0,38.0,63.0,1.0,2.0,5.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,80279.89758831995,150008.11703674964,0.0,6020.544638011215,6020.544638011215,1606.539467458153,8230.215589684993,30571.17819204709,3.0,22.0,47.0,0,1,1,0,315266,311763.62
6,111,53.0,0,4,2,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,9.0,29.0,57.0,4.0,23.0,54.0,3.0,11.0,20.0,5.0,21.0,41.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,1.0,1.0,7.0,0.0,0.0,0.0,5065.254461388698,18423.3213264856,45826.45337000834,0.0,0.0,0.0,6966.933538998842,29268.479272592165,62051.169076084174,5.0,27.0,47.0,0,1,1,0,258118,251673.1
7,111,1.0,1,2,2,2,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.0,43.0,78.0,5.0,21.0,55.0,2.0,8.0,14.0,2.0,17.0,35.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,3.0,7.0,0.0,0.0,0.0,3692.2512916246255,72793.1062514247,185931.6710268502,0.0,0.0,0.0,0.0,10800.054836510795,28111.39336264583,3.0,20.0,48.0,0,1,1,0,475020,429011.7
8,111,24.0,1,3,2,2,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,7.0,26.0,72.0,12.0,28.0,39.0,2.0,5.0,13.0,4.0,11.0,26.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1.0,3.0,9.0,0.0,0.0,0.0,1473.1764721741874,11414.175881125188,67515.57815393034,0.0,0.0,0.0,309.43518909237946,3393.937712383561,21183.564469812947,10.0,22.0,56.0,1,1,1,0,192062,344050.06
9,111,33.0,0,1,0,1,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,22.0,48.0,64.0,13.0,40.0,59.0,1.0,5.0,14.0,8.0,20.0,40.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,1,4.0,11.0,19.0,0.0,0.0,0.0,275.5577012629514,7323.139421154057,85699.85280172387,0.0,0.0,0.0,3393.3738034268968,11449.352199749685,25624.28104181044,6.0,24.0,59.0,1,1,1,0,265969,279237.2
