,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,y,0
0,111,56.0,0,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,8.0,33.0,73.0,8.0,27.0,57.0,3.0,7.0,27.0,10.0,32.0,57.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,2.0,3.0,5.0,0.0,0.0,0.0,2854.1455802036016,14158.948146239629,61616.60285452703,0.0,0.0,0.0,780.6631398497617,22608.59946403467,36877.91041712168,4.0,20.0,48.0,0,1,1,0,0,0,181776,192642.64
1,111,52.0,0,3,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2.0,11.0,21.0,4.0,12.0,21.0,3.0,7.0,12.0,5.0,11.0,19.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,2.0,2.0,2.0,0.0,0.0,0.0,28138.943794681265,144354.7654433153,338575.4203577446,4421.563765007294,82000.01125702518,147485.35047595343,0.0,5142.653255870692,24208.429218208774,3.0,15.0,24.0,0,0,0,0,0,0,255782,193409.38
2,111,43.0,0,3,2,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1.0,20.0,60.0,2.0,17.0,48.0,2.0,14.0,21.0,4.0,19.0,49.0,0.0,2.0,5.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,31693.665706113017,43911.36759861772,102515.95594267634,0.0,0.0,0.0,428.9557132481513,3692.084409986676,29559.237256464046,2.0,16.0,33.0,0,0,1,0,0,0,238048,232184.53
3,111,56.0,0,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,5.0,35.0,73.0,8.0,27.0,57.0,3.0,9.0,28.0,10.0,32.0,58.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,2.0,3.0,5.0,0.0,0.0,0.0,3160.820724861308,13532.39770840499,62602.23416090341,0.0,0.0,0.0,780.6631398497617,22574.31081065741,36625.00338935913,5.0,20.0,48.0,0,1,1,0,0,0,181776,196491.33
4,111,25.0,0,3,2,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,3.0,28.0,57.0,3.0,19.0,40.0,0.0,9.0,22.0,3.0,21.0,46.0,0.0,3.0,5.0,0.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,5.0,0.0,0.0,0.0,4392.905020414559,24140.7249105599,62924.20054419266,0.0,0.0,0.0,2236.17962155113,7020.702548715844,20355.90013156124,2.0,11.0,36.0,0,1,1,0,0,0,241152,239692.11
5,111,18.0,1,4,2,2,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,8.0,32.0,71.0,0.0,26.0,50.0,1.0,14.0,27.0,6.0,28.0,60.0,0.0,3.0,5.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,2.0,3.0,0.0,0.0,0.0,3723.227293309405,16742.01060817253,95681.72495024446,0.0,0.0,0.0,7675.278724510799,12189.288311869315,27977.439575172408,6.0,19.0,47.0,0,1,1,0,0,0,235098,229035.02
6,111,50.0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,5.0,25.0,34.0,6.0,24.0,26.0,4.0,14.0,19.0,6.0,18.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,1.0,2.0,0.0,0.0,0.0,11747.059361949898,42841.12281286112,168457.1439975626,0.0,0.0,61425.60434613624,0.0,6489.3713961381145,23787.573431970726,2.0,18.0,32.0,0,0,0,0,0,0,254177,249182.86
7,111,50.0,0,3,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,8.0,26.0,35.0,7.0,19.0,27.0,3.0,16.0,19.0,3.0,16.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,2.0,0.0,0.0,0.0,11876.02573909987,48723.79210573767,149921.91219005734,0.0,0.0,19828.77432437383,0.0,6267.324737930289,21022.38990642581,2.0,17.0,36.0,0,0,0,0,0,0,208723,251556.48
8,111,43.0,0,4,2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,7.0,31.0,59.0,12.0,27.0,43.0,4.0,10.0,23.0,8.0,20.0,39.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,3322.469645073671,17783.521162473462,48808.854718383125,0.0,0.0,0.0,0.0,4791.685121288227,37969.63141457438,2.0,20.0,40.0,0,1,1,0,0,0,226667,231993.06
9,111,39.0,0,3,2,2,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,12.0,30.0,65.0,11.0,30.0,51.0,2.0,11.0,21.0,10.0,28.0,55.0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0,0,1,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1.0,5.0,7.0,0.0,0.0,0.0,2854.1455802036016,11471.63507953798,67191.60350282335,0.0,0.0,0.0,0.0,14360.081427176709,39611.01912269879,5.0,19.0,41.0,0,1,1,0,0,0,227524,238225.86
