,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址,lon,lat
76,臺北市大安區敦化南路二段154巷3號四樓,37,3,2,2,有,245443,False,121.54808949999999,25.0252204
78,臺北市大安區四維路198巷38弄9號十三樓,37,2,2,2,有,257275,False,121.54660894999999,25.02656525
79,臺北市大安區復興南路二段180巷18號,36,5,4,2,有,314764,False,121.54205130000001,25.0273559
80,臺北市大安區忠孝東路四段341號十一樓之2,43,3,1,2,有,286978,False,121.5573287,25.0415562
83,臺北市大安區泰順街26巷35號三樓,35,5,3,4,無,228840,False,121.530057,25.025065899999998
121,臺北市大安區延吉街166號五樓,41,2,2,1,有,315266,False,121.5549727,25.038976299999998
123,臺北市大安區敦化南路二段172巷13號四樓,53,4,2,2,無,258118,False,121.54733019999999,25.0241279
262,臺北市大安區羅斯福路二段79號十一樓之6,33,1,0,1,有,265969,False,121.52340679999999,25.026155199999998
267,臺北市大安區和平東路二段311巷43弄19號十二樓,37,3,2,2,有,251708,False,121.5461519,25.0257057
298,臺北市大安區復興南路一段253巷8號十四樓之5,43,1,1,1,有,340426,False,121.54421579999998,25.036733899999998
299,臺北市大安區忠孝東路三段217巷2弄3之4號,51,4,2,3,有,229647,False,121.54036540000001,25.042182800000003
303,臺北市大安區忠孝東路三段248巷13弄10號五樓,40,3,2,1,無,238686,False,121.54211760000001,25.0405508
305,臺北市大安區光復南路460號五樓之2,44,3,2,2,有,288344,False,121.55729269999999,25.0351802
321,臺北市大安區和平東路一段191號十四樓,4,1,1,1,有,364282,False,121.53370649999998,25.026351599999998
322,臺北市大安區信義路三段105號十二樓之10,15,1,1,1,有,433213,False,121.5388727,25.0337041
323,臺北市大安區安和路二段21號五樓,38,4,2,2,有,302590,False,121.55265729999999,25.0322507
458,臺北市大安區雲和街80號三樓,43,4,2,2,無,239253,False,121.5306877,25.023348900000002
460,臺北市大安區復興南路一段82號十六樓之2,40,3,2,2,有,239544,False,121.54358939999999,25.0436947
462,臺北市大安區羅斯福路三段135號十樓之1,33,3,2,2,有,276318,False,121.52714209999999,25.021948500000004
463,臺北市大安區忠孝東路四段223巷36號六樓,40,4,2,2,有,268408,False,121.55316759999998,25.043194099999997
518,臺北市大安區復興南路二段193巷21號,37,3,2,2,有,247941,False,121.54471129999999,25.0266704
553,臺北市大安區光復南路240巷7號九樓,43,4,2,2,有,320190,False,121.5569914,25.040653999999996
556,臺北市大安區安居街75巷10號三樓,44,2,2,2,無,210852,False,121.5531982,25.018649300000003
691,臺北市大安區忠孝東路四段181巷7弄13號三樓,54,1,1,1,有,287067,False,121.5514075,25.042181799999998
795,臺北市大安區師大路68巷27號四樓,15,1,0,1,有,302640,False,121.52739810000001,25.0242968
939,臺北市大安區大安路一段202號三樓之5,14,1,1,1,有,472527,False,121.54589929999999,25.034965399999997
940,臺北市大安區光復南路626號九樓之4,42,3,2,2,有,196552,False,121.5572972,25.0318722
941,臺北市大安區仁愛路四段345巷15弄7號三樓,36,2,2,1,有,339615,False,121.55430299999999,25.0391509
942,臺北市大安區信義路三段190之1號十二樓之2,40,1,1,1,有,329019,False,121.5428899,25.033148900000004
943,臺北市大安區瑞安街135巷23號五樓,42,3,1,1,無,260646,False,121.5409782,25.026772500000003
945,臺北市大安區樂業街72巷18號四樓,1,2,2,1,有,318506,False,121.5500804,25.021591699999995
995,臺北市大安區光復南路696號三樓之6,10,1,1,1,有,278037,False,121.5571642,25.029766099999996
997,臺北市大安區大安路一段176巷5號二樓,42,1,1,1,無,259611,False,121.5455966,25.036547400000003
1047,臺北市大安區瑞安街208巷39號五樓之2,7,1,0,1,有,334690,False,121.5407257,25.0297199
1049,臺北市大安區樂業街72巷18號八樓,1,2,2,1,有,314113,False,121.5500804,25.021591699999995
1152,臺北市大安區信義路三段192號十二樓之2,40,1,0,1,有,321958,False,121.54293229999998,25.0331096
1153,臺北市大安區敦化南路一段161巷30號四樓,54,3,2,2,無,277215,False,121.55053450000001,25.043407100000003
1157,臺北市大安區信義路二段30號八樓,41,3,2,3,有,277619,False,121.52536999999998,25.034709
1193,臺北市大安區仁愛路四段345巷4弄5號四樓,49,4,2,2,有,301741,False,121.55364859999997,25.0390506
1234,臺北市大安區敦化南路一段190巷24號六樓,53,4,2,2,有,272433,False,121.5474446,25.0425489
1366,臺北市大安區敦化南路二段63巷53弄14號三樓,37,3,2,2,有,303876,False,121.55134869999999,25.031590800000004
1367,臺北市大安區建國南路二段9號四樓之1,33,4,2,2,有,286264,False,121.538191,25.0329665
1401,臺北市大安區信義路四段199巷12號四樓,40,3,2,2,有,296307,False,121.5515049,25.0340589
1431,臺北市大安區忠孝東路四段181巷41號三樓之2,34,1,1,1,有,290742,False,121.55089069999998,25.044280699999998
