,交易年份,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
31,111,臺北市中山區建國北路三段81巷15號四樓,39,3,2,2,有,177928,False
32,111,臺北市中山區伊通街19巷21號,38,3,2,1,無,293629,False
33,111,臺北市中山區吉林路461巷8號二樓,51,3,2,2,無,163067,False
38,111,臺北市中山區新生北路三段93巷10號,57,4,2,2,無,323197,False
39,111,臺北市中山區松江路156巷10號二樓之1,21,1,1,1,有,279013,False
43,111,臺北市中山區中山北路一段53巷8號五樓之8,14,1,1,1,有,276590,False
96,111,臺北市中山區雙城街3巷2號十二樓,27,1,1,1,有,193108,False
101,111,臺北市中山區民族東路234號二樓之1,50,2,1,1,無,175778,False
173,111,臺北市中山區錦州街30巷11號五樓之13,43,2,1,1,有,165354,False
187,111,臺北市中山區合江街188巷13號六樓,44,3,2,2,有,195539,False
229,111,臺北市中山區中山北路二段36巷30號五樓,47,4,2,2,無,205936,False
235,110,臺北市中山區林森北路282號五樓之11,47,1,1,1,有,198152,False
236,111,臺北市中山區民權東路三段88號七樓之2,36,4,3,2,有,226853,False
278,111,臺北市中山區中山北路二段65巷2弄13號七樓之1,12,1,1,1,有,247992,False
281,111,臺北市中山區農安街227巷34號六樓,38,3,2,2,有,159137,False
282,111,臺北市中山區新生北路三段64號五樓之8,43,1,1,1,有,149721,False
284,111,臺北市中山區四平街15號,50,2,1,0,有,367022,False
288,111,臺北市中山區吉林路200巷23號,56,3,2,1,無,267668,False
316,111,臺北市中山區中原街33號四樓之1,43,2,1,2,有,247155,False
357,111,臺北市中山區民生東路一段54號八樓之7,37,2,1,1,有,218051,False
364,111,臺北市中山區雙城街3巷2號八樓之5,27,1,1,1,有,169464,False
412,111,臺北市中山區北安路669號二樓之2,5,1,0,1,有,238503,False
420,111,臺北市中山區錦州街50號十二樓之30,38,1,1,1,有,154629,False
422,111,臺北市中山區新生北路三段1號五樓之14、五樓之15,41,2,1,2,有,189796,False
423,111,臺北市中山區民生西路45巷5弄15號二樓,55,3,1,1,無,183261,False
430,110,臺北市中山區新生北路一段112號八樓之8,40,0,1,1,有,187520,False
480,111,臺北市中山區民生西路16號五樓之2,42,0,0,0,有,172024,False
482,111,臺北市中山區中山北路二段20巷24號五樓,46,3,2,2,無,207983,False
545,111,臺北市中山區龍江路394巷48號五樓,41,3,2,1,無,138310,False
547,111,臺北市中山區雙城街19巷8號十二樓之13,14,2,1,1,有,257353,False
572,110,臺北市中山區南京東路二段108號十七樓之13,11,1,1,1,有,297967,False
573,111,臺北市中山區長春路235號十樓之2,36,1,0,1,有,221944,False
585,111,臺北市中山區新生北路三段76號八樓之1,40,1,1,1,有,201025,False
589,111,臺北市中山區林森北路409號八樓之37,40,1,0,1,有,123827,False
590,111,臺北市中山區新生北路三段82號八樓之7,35,1,1,1,有,175055,False
592,111,臺北市中山區中山北路一段135巷26號五樓、五樓之1,11,2,1,1,有,156967,False
593,111,臺北市中山區松江路330巷53號二樓之8,15,1,1,1,有,257946,False
602,111,臺北市中山區長春路220號十一樓之3、十一樓之4,28,2,2,2,有,220679,False
649,110,臺北市中山區長安東路二段230號十樓之2,36,2,2,2,有,225489,False
658,110,臺北市中山區北安路569之3號三樓,45,4,1,1,無,191029,False
661,111,臺北市中山區南京東路三段194巷5號二樓之3,32,0,0,0,有,251544,False
663,111,臺北市中山區新生北路三段58號七樓之11,40,1,1,1,有,179768,False
666,111,臺北市中山區錦州街50號七樓之19,38,2,1,1,有,168568,False
703,111,臺北市中山區林森北路413號十樓之6,38,2,2,1,有,159473,False
708,111,臺北市中山區南京東路三段106號十二樓,2,0,0,0,有,410755,False
781,111,臺北市中山區中山北路三段36巷4號八樓,33,2,2,1,有,246210,False
828,111,臺北市中山區林森北路85巷66弄2號五樓之2,38,1,1,1,有,179352,False
833,111,臺北市中山區建國北路三段81巷3號六樓,41,4,2,2,有,204694,False
836,111,臺北市中山區長安東路一段56巷1弄12號二樓,8,2,2,1,有,236750,False
839,111,臺北市中山區林森北路85巷77號二樓之6,15,0,1,1,有,235318,False
844,111,臺北市中山區雙城街19巷8號十四樓之2,14,1,1,1,有,241176,False
845,111,臺北市中山區長安東路一段56巷3號四樓之1,19,1,0,1,有,242267,False
854,110,臺北市中山區龍江路201號三樓,41,3,2,2,有,223091,False
900,111,臺北市中山區德惠街45號七樓之13,43,0,0,0,有,144785,False
910,111,臺北市中山區民生東路一段70巷11號四樓之13,15,1,1,1,有,252769,False
915,111,臺北市中山區大直街122號四樓,39,3,2,2,無,221091,False
956,110,臺北市中山區合江街37號七樓,3,0,0,0,有,287336,False
960,111,臺北市中山區建國北路二段139號八樓之2,36,2,2,2,有,208470,False
961,111,臺北市中山區松江路2號十一樓之1,41,1,1,1,有,205554,False
1035,110,臺北市中山區林森北路286號九樓之6,33,1,1,1,有,157700,False
1037,111,臺北市中山區林森北路107巷41號七樓之6,33,1,1,1,有,186803,False
1071,111,臺北市中山區吉林路461巷14號四樓,50,3,2,1,無,173241,False
1083,111,臺北市中山區新生北路三段16號五樓,10,1,1,1,有,245399,False
1130,111,臺北市中山區合江街100巷25號四樓,41,3,2,2,有,187512,False
1132,111,臺北市中山區林森北路121號十二樓之6,14,1,0,1,有,250987,False
1135,111,臺北市中山區中山北路二段115巷30號七樓,12,1,2,1,有,258088,False
1140,111,臺北市中山區新生北路三段56巷19號六樓之1,13,1,1,1,有,268084,False
1165,111,臺北市中山區民族東路512巷13弄27號三樓,41,3,2,2,無,127621,False
1219,111,臺北市中山區林森北路472號六樓之10,26,1,1,1,有,178944,False
1222,111,臺北市中山區市民大道三段167號七樓之3,14,1,0,1,有,255862,False
1338,110,臺北市中山區新生北路一段59號二樓,42,1,1,1,有,183385,False
1343,111,臺北市中山區合江街188巷14號七樓,45,2,2,1,有,258039,False
1352,111,臺北市中山區長春路59號八樓,46,1,2,1,有,171262,False
1372,111,臺北市中山區合江街73巷37號七樓,40,3,2,2,有,240176,False
1374,111,臺北市中山區新生北路三段82巷37號四樓之2,30,1,1,1,有,204304,False
1381,111,臺北市中山區林森北路119巷61號,55,0,0,0,無,427722,False
1460,111,臺北市中山區林森北路119巷66之3號,55,3,1,1,無,119048,False
1461,111,臺北市中山區錦州街32號九樓,40,2,2,1,有,162729,False
1483,111,臺北市中山區民權東路二段200號四樓,46,5,3,2,無,157560,False
