,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
0,107,新北市土城區金城路三段73巷4弄12號二樓,土城區,37.0,房地(土地+建物),1071021,0701223,公寓(5樓含以下無電梯),4,2,2,,無,99768,False,2,121.46667400000001,24.9879119
1,107,新北市土城區學府路一段95號十三樓,土城區,23.0,房地(土地+建物)+車位,1071010,0840311,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,79765,False,13,121.4563699,24.987893800000002
2,107,新北市土城區青雲路281巷3號5樓,土城區,35.0,房地(土地+建物),1070927,0720520,公寓(5樓含以下無電梯),3,2,1,,無,77266,False,5,121.459466,24.980165899999996
3,107,新北市板橋區南雅西路二段172之2號,板橋區,41.0,房地(土地+建物),1070930,0661014,公寓(5樓含以下無電梯),3,2,2,,無,92510,False,1,121.451691,25.0138709
4,107,新北市板橋區民生路一段29號二十五樓,板橋區,24.0,房地(土地+建物),1071020,0831202,住宅大樓(11層含以上有電梯),3,2,2,,有,112063,False,25,121.47717999999999,25.011426900000004
5,107,新北市板橋區縣民大道三段252之2號11樓,板橋區,19.0,房地(土地+建物),1071005,0880117,住宅大樓(11層含以上有電梯),2,2,2,,有,126213,False,11,121.47774499999998,25.022737000000003
6,107,新北市板橋區南雅西路二段301巷42號,板橋區,39.0,房地(土地+建物),1070915,0681031,公寓(5樓含以下無電梯),3,2,2,,無,146122,False,1,121.4521125,25.016901200000003
7,107,新北市板橋區金門街31巷12號十一樓,板橋區,20.0,房地(土地+建物),1071013,0871120,住宅大樓(11層含以上有電梯),2,2,1,,有,85882,False,11,121.43354699999999,24.993748
8,107,新北市板橋區光環路二段8之3號8樓,板橋區,5.0,房地(土地+建物)+車位,1071014,1021226,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,136052,False,8,121.48232729999998,25.014363899999996
9,107,新北市板橋區民生路一段95號三樓,板橋區,8.0,房地(土地+建物),1071016,0990831,住宅大樓(11層含以上有電梯),2,2,1,,有,134243,False,3,121.4743135,25.014045499999998
10,107,新北市板橋區華東街268號十八樓,板橋區,4.0,房地(土地+建物)+車位,1071023,1031003,住宅大樓(11層含以上有電梯),3,2,1,升降機械,有,127317,False,18,121.4528109,25.0013758
11,107,新北市新莊區後港二路40巷12號三樓,新莊區,30.0,房地(土地+建物),1071008,0770307,公寓(5樓含以下無電梯),3,1,2,,無,73257,False,3,121.4210993,25.021844299999998
12,107,新北市新莊區中平路270巷7弄11號12樓之1,新莊區,21.0,房地(土地+建物)+車位,1071013,0860718,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,75249,False,12,121.4452161,25.050844599999998
13,107,新北市新莊區中華路一段136巷26號6樓之3,新莊區,19.0,房地(土地+建物),1071002,0880203,套房(1房1廳1衛),1,0,1,,無,103245,False,6,121.45358119999999,25.0411511
14,107,新北市新莊區中和街155巷24弄13號三樓,新莊區,25.0,房地(土地+建物),1070924,0820528,住宅大樓(11層含以上有電梯),2,1,1,,有,79543,False,3,121.44631709999999,25.050179900000003
15,107,新北市林口區公園路133之1號二樓,林口區,21.0,房地(土地+建物)+車位,1071016,0861126,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,50955,False,2,121.3693789,25.0705226
16,107,新北市林口區文化二路一段20巷25弄55號二樓,林口區,14.0,房地(土地+建物)+車位,1071010,0930520,華廈(10層含以下有電梯),4,2,2,坡道平面,有,69847,False,2,121.3662223,25.0674796
17,107,新北市泰山區明志路一段179號四樓,泰山區,36.0,房地(土地+建物),1071013,0710218,公寓(5樓含以下無電梯),3,2,1,,無,54446,False,4,121.43307679999998,25.062074100000004
18,107,新北市林口區中正路264巷35號四樓,林口區,39.0,房地(土地+建物),1071024,0681224,公寓(5樓含以下無電梯),2,1,1,,無,43279,False,4,121.3881768,25.078420299999998
19,107,新北市新店區吉祥街2巷12號1樓,新店區,22.0,房地(土地+建物)+車位,1071006,0850123,華廈(10層含以下有電梯),4,2,3,坡道平面,有,58470,False,1,121.4968954,24.947631800000003
20,107,新北市深坑區文化街39巷31號13樓,深坑區,24.0,房地(土地+建物),1071015,0831104,住宅大樓(11層含以上有電梯),3,2,2,,有,87153,False,13,121.6190561,25.0004238
21,107,新北市新店區中央七街85號二樓,新店區,4.0,房地(土地+建物)+車位,1070808,1031230,華廈(10層含以下有電梯),3,2,2,塔式車位,有,153423,False,2,121.52686969999999,24.977145699999998
22,107,新北市新店區安祥路106巷244號四樓,新店區,20.0,房地(土地+建物),1071018,0870608,公寓(5樓含以下無電梯),2,1,1,,無,46460,False,4,121.47287809999997,24.9589967
23,107,新北市新店區寶橋路78巷20號四樓,新店區,5.0,房地(土地+建物),1071030,1020829,住宅大樓(11層含以上有電梯),3,2,2,,有,153433,False,4,121.547003,24.974226799999997
24,107,新北市新店區北宜路二段355－2號十樓,新店區,16.0,房地(土地+建物),1071020,0910422,住宅大樓(11層含以上有電梯),3,2,2,,有,82186,False,10,121.55507419999998,24.95328285
25,107,新北市新店區北宜路二段421巷2弄25號五樓,新店區,5.0,房地(土地+建物)+車位,1071017,1021108,華廈(10層含以下有電梯),4,2,2,坡道平面,有,78974,False,5,121.56096439999999,24.955653299999994
26,107,新北市新店區北宜路二段421巷2弄71號三樓,新店區,5.0,房地(土地+建物)+車位,1070921,1021108,華廈(10層含以下有電梯),3,2,2,坡道平面,有,78619,False,3,121.56081449999999,24.9557167
27,107,新北市汐止區忠三街16巷2號3樓,汐止區,28.0,房地(土地+建物)+車位,1070926,0790915,公寓(5樓含以下無電梯),6,3,4,坡道平面,無,61427,False,3,121.62654690000001,25.0781936
28,107,新北市汐止區福德一路141巷12號四樓,汐止區,23.0,房地(土地+建物),1071013,0840422,華廈(10層含以下有電梯),3,2,2,,有,80342,False,4,121.6370147,25.0666928
29,107,新北市汐止區湖前街77巷1號4樓,汐止區,24.0,房地(土地+建物)+車位,1071029,0831024,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,79469,False,4,121.63160500000001,25.070401999999994
30,107,新北市萬里區孝五街4號4樓,萬里區,39.0,房地(土地+建物),1070926,0681122,公寓(5樓含以下無電梯),3,2,1,,無,14939,False,4,121.68354749999999,25.176190800000004
31,107,新北市汐止區水源路一段291巷10號,汐止區,37.0,房地(土地+建物),1070928,0701230,公寓(5樓含以下無電梯),3,2,2,,無,78231,False,1,121.65535169999998,25.058273300000003
32,107,新北市淡水區紅樹林路157號二十樓,淡水區,1.0,房地(土地+建物)+車位,1071024,1060118,住宅大樓(11層含以上有電梯),2,1,1,坡道機械,有,101612,False,20,121.46100750000001,25.157567099999998
33,107,新北市淡水區北新路183號八樓,淡水區,23.0,房地(土地+建物),1071028,0840728,住宅大樓(11層含以上有電梯),1,1,1,,有,71770,False,8,121.4507922,25.1797227
34,107,新北市淡水區民族路226號2樓,淡水區,10.0,房地(土地+建物),1071021,0971016,華廈(10層含以下有電梯),2,2,1,,有,90179,False,2,121.46215179999999,25.133348299999998
37,107,新北市淡水區新市五路三段348號十八樓,淡水區,1.0,房地(土地+建物)+車位,1070921,1061229,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,68589,False,18,121.4358456,25.198160899999994
38,107,新北市三芝區北勢子4之13號,三芝區,38.0,房地(土地+建物),1071026,0690816,透天厝,4,3,3,,無,36619,False,1,121.4756335,25.255909799999998
39,107,新北市淡水區水源街二段177巷114號三樓,淡水區,22.0,房地(土地+建物),1071015,0851202,住宅大樓(11層含以上有電梯),3,1,1,,有,48946,False,3,121.4513997,25.177400400000003
40,107,新北市淡水區學府路136巷63號八樓之8,淡水區,11.0,房地(土地+建物),1071013,0961002,住宅大樓(11層含以上有電梯),1,1,1,,有,72674,False,8,121.45334,25.1733253
41,107,新北市淡水區水源街二段92巷18號三樓,淡水區,38.0,房地(土地+建物),1071009,0690424,公寓(5樓含以下無電梯),4,0,4,,無,58140,False,3,121.45210089999999,25.173461999999997
42,107,新北市淡水區坪頂路145號六樓,淡水區,1.0,房地(土地+建物),1070916,1060830,華廈(10層含以下有電梯),4,1,2,,有,57766,False,6,121.46677759999999,25.161753099999995
43,107,新北市淡水區新市二路二段26號八樓,淡水區,0.0,房地(土地+建物)+車位,1070917,1070227,住宅大樓(11層含以上有電梯),2,1,2,坡道平面,有,54685,False,8,121.42694060000001,25.1955591
44,107,新北市淡水區新市二路二段36之1號十一樓,淡水區,0.0,房地(土地+建物)+車位,1071030,1070227,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,53580,False,11,121.42762580000002,25.1953863
45,107,新北市淡水區新市二路二段46號十一樓,淡水區,0.0,房地(土地+建物)+車位,1071009,1070227,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,53940,False,11,121.42683679999999,25.1955489
46,107,新北市淡水區自立路46之1號七樓,淡水區,1.0,房地(土地+建物)+車位,1071005,1060811,華廈(10層含以下有電梯),3,1,2,升降平面,有,130623,False,7,121.46436479999998,25.1269555
