,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,108,基隆市信義區深澳坑路2之5號11樓之7,信義區,23.0,房地(土地+建物),1081025,0850426,套房(1房1廳1衛),1,0,1,,無,35998,False
1,108,基隆市仁愛區仁一路95巷22號,仁愛區,39.0,房地(土地+建物),1081028,0691113,公寓(5樓含以下無電梯),3,1,1,,無,57283,False
2,108,基隆市信義區深澳坑路172巷87之5號2樓,信義區,21.0,房地(土地+建物),1081018,0870610,公寓(5樓含以下無電梯),3,2,2,,無,29269,False
3,108,基隆市仁愛區曲水街22巷3號,仁愛區,52.0,房地(土地+建物),1080927,0561101,透天厝,2,3,1,,無,51493,False
4,108,基隆市仁愛區忠三路10號,仁愛區,27.0,房地(土地+建物),1081015,0810907,華廈(10層含以下有電梯),6,3,10,,有,50526,False
5,108,基隆市信義區義六路34巷4號2~3樓,信義區,50.0,房地(土地+建物),1080925,0580306,公寓(5樓含以下無電梯),7,0,7,,無,60241,False
6,108,基隆市安樂區樂利三街8巷35號4樓,安樂區,24.0,房地(土地+建物),1081016,0840504,住宅大樓(11層含以上有電梯),4,2,2,,有,43327,False
7,108,基隆市安樂區武聖街152號2樓,安樂區,29.0,房地(土地+建物),1081024,0790523,公寓(5樓含以下無電梯),3,2,1,,無,28944,False
8,108,基隆市安樂區中平街58號,安樂區,45.0,房地(土地+建物),1081016,0630305,透天厝,3,2,2,,無,28019,False
9,108,基隆市暖暖區東勢街20之3號,暖暖區,39.0,房地(土地+建物),1080929,0691209,公寓(5樓含以下無電梯),3,2,2,,無,35904,False
10,108,基隆市暖暖區源遠路193巷12之2號,暖暖區,39.0,房地(土地+建物),1080528,0690428,公寓(5樓含以下無電梯),3,2,1,,無,33156,False
11,108,基隆市中正區觀海街71號7樓,中正區,20.0,房地(土地+建物),1080926,0880114,住宅大樓(11層含以上有電梯),4,2,2,,有,34199,False
12,108,基隆市七堵區百二街36號5樓,七堵區,15.0,房地(土地+建物),1080922,0930503,公寓(5樓含以下無電梯),4,2,2,,無,50400,False
13,108,基隆市安樂區中和路168巷15弄15號,安樂區,24.0,房地(土地+建物),1080930,0840117,公寓(5樓含以下無電梯),2,1,1,,無,34727,False
14,108,基隆市安樂區中和路168巷15弄7號,安樂區,24.0,房地(土地+建物),1080926,0840117,公寓(5樓含以下無電梯),2,2,1,,無,26257,False
15,108,基隆市七堵區長安街233巷12號,七堵區,23.0,房地(土地+建物),1081022,0850429,華廈(10層含以下有電梯),3,2,2,,有,40025,False
16,108,基隆市暖暖區東碇路314號2樓,暖暖區,22.0,房地(土地+建物)+車位,1080914,0860623,華廈(10層含以下有電梯),3,2,2,坡道機械,有,43292,False
17,108,基隆市七堵區泰安路23之43號,七堵區,40.0,房地(土地+建物),1081014,0680417,公寓(5樓含以下無電梯),5,2,2,,無,35977,False
18,108,基隆市暖暖區東勢街8之14號,暖暖區,39.0,房地(土地+建物),1081005,0691209,公寓(5樓含以下無電梯),4,2,2,,無,37518,False
19,108,基隆市信義區東信路154巷23號2樓,信義區,31.0,房地(土地+建物),1080914,0770706,公寓(5樓含以下無電梯),3,2,2,,無,49879,False
20,108,基隆市中正區調和街19之1號5樓,中正區,32.0,房地(土地+建物),1080923,0760323,公寓(5樓含以下無電梯),4,2,2,,無,28557,False
21,108,基隆市信義區東明路77巷192號3樓,信義區,29.0,房地(土地+建物),1081003,0790601,公寓(5樓含以下無電梯),3,2,1,,無,35211,False
22,108,基隆市信義區深澳坑路2巷4號7樓　,信義區,23.0,房地(土地+建物)+車位,1081019,0850426,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,31854,False
23,108,基隆市中正區和平街27號二樓,中正區,34.0,房地(土地+建物),1081027,0741213,公寓(5樓含以下無電梯),3,2,1,,無,26712,False
24,108,基隆市仁愛區劉銘傳路104巷60之2號,仁愛區,37.0,房地(土地+建物),1080924,0710508,公寓(5樓含以下無電梯),3,2,1,,無,34978,False
25,108,基隆市信義區深澳坑路6巷280號3樓,信義區,20.0,房地(土地+建物)+車位,1081006,0881006,公寓(5樓含以下無電梯),3,2,2,坡道平面,無,24663,False
