,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,110,新北市土城區日和街23號五樓,土城區,2.0,房地(土地+建物)+車位,1101008,1081120,住宅大樓(11層含以上有電梯),鋼骨構造、鋼骨鋼筋混凝土構造,3,2,2,坡道平面,有,133047,False
1,110,新北市板橋區永豐街49巷22號十三樓,板橋區,4.0,房地(土地+建物)+車位,1101030,1060811,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,168671,False
2,110,新北市土城區日和街21號二十一樓,土城區,2.0,房地(土地+建物)+車位,1101106,1081120,住宅大樓(11層含以上有電梯),鋼骨構造、鋼骨鋼筋混凝土構造,3,2,2,坡道平面,有,143655,False
3,110,新北市板橋區四川路二段237號八樓之五,板橋區,29.0,房地(土地+建物),1101004,0810808,住宅大樓(11層含以上有電梯),鋼骨混凝土造,1,1,1,,有,135235,False
4,110,新北市土城區中央路四段285號二樓,土城區,22.0,房地(土地+建物),1101106,0880206,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,98435,False
5,110,新北市土城區學府路一段99巷23號四樓,土城區,36.0,房地(土地+建物),1101031,0740926,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,100664,False
6,110,新北市板橋區華江一路562號七樓,板橋區,0.0,房地(土地+建物)+車位,1101019,1100421,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,140836,False
7,110,新北市土城區學府路一段164巷33號二樓,土城區,34.0,房地(土地+建物),1101006,0760714,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,98106,False
8,110,新北市板橋區文化路二段235之1號三樓,板橋區,2.0,房地(土地+建物)+車位,1101109,1081101,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,1,1,1,坡道平面,有,188396,False
9,110,新北市土城區明德路一段68號六樓,土城區,28.0,房地(土地+建物)+車位,1101004,0820706,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,96175,False
10,110,新北市土城區中華路一段249號六樓,土城區,26.0,房地(土地+建物),1101028,0840121,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,108046,False
11,110,新北市板橋區文化路二段235之1號二樓,板橋區,2.0,房地(土地+建物)+車位,1101124,1081101,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,1,1,1,坡道平面,有,188063,False
12,110,新北市土城區中央路四段251號十二樓,土城區,6.0,房地(土地+建物)+車位,1101104,1040908,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,128330,False
16,110,新北市土城區延平街67號五樓,土城區,30.0,房地(土地+建物),1101028,0800803,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,113596,False
19,110,新北市板橋區懷德街2號九樓之一,板橋區,26.0,房地(土地+建物)+車位,1101118,0840915,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,161727,False
22,110,新北市板橋區文化路一段362號二十六樓之3,板橋區,11.0,房地(土地+建物)+車位,1101024,0990715,住宅大樓(11層含以上有電梯),鋼骨構造,4,2,3,坡道平面,有,159516,False
23,110,新北市土城區立德路12號五樓,土城區,40.0,房地(土地+建物),1101110,0701014,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,96022,False
24,110,新北市板橋區忠孝路48巷4弄61之2號五樓,板橋區,39.0,房地(土地+建物),1101206,0710213,公寓(5樓含以下無電梯),鋼筋混凝土造,7,0,7,,無,120721,False
25,110,新北市新莊區中正路195號十三樓,新莊區,5.0,房地(土地+建物)+車位,1101015,1051122,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,152687,False
26,110,新北市五股區新城三路7號十樓,五股區,6.0,房地(土地+建物)+車位,1101030,1041112,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,坡道平面,有,101390,False
27,110,新北市林口區信義路299號四樓,林口區,8.0,房地(土地+建物)+車位,1101030,1020321,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,96459,False
28,110,新北市五股區成洲五路38號八樓,五股區,6.0,房地(土地+建物)+車位,1101111,1040903,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,87102,False
29,110,新北市五股區工商路162號九樓,五股區,24.0,房地(土地+建物)+車位,1101113,0861212,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,65582,False
30,110,新北市五股區工商路164號九樓,五股區,24.0,房地(土地+建物)+車位,1101113,0861212,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,65582,False
31,110,新北市新莊區天祥街47巷16弄8號三樓,新莊區,41.0,房地(土地+建物),1101115,0691205,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,2,,無,101363,False
32,110,新北市新莊區建安街25巷10號二樓,新莊區,24.0,房地(土地+建物)+車位,1101023,0860718,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,104987,False
