,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
0,110,新北市土城區日和街23號五樓,土城區,2.0,房地(土地+建物)+車位,1101008,1081120,住宅大樓(11層含以上有電梯),鋼骨構造、鋼骨鋼筋混凝土構造,3,2,2,坡道平面,有,133047,False,5,121.44263149999999,24.9840393
1,110,新北市板橋區永豐街49巷22號十三樓,板橋區,4.0,房地(土地+建物)+車位,1101030,1060811,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,168671,False,13,121.4733615,25.0180723
2,110,新北市土城區日和街21號二十一樓,土城區,2.0,房地(土地+建物)+車位,1101106,1081120,住宅大樓(11層含以上有電梯),鋼骨構造、鋼骨鋼筋混凝土構造,3,2,2,坡道平面,有,143655,False,21,121.44263149999999,24.9840393
3,110,新北市板橋區四川路二段237號八樓之五,板橋區,29.0,房地(土地+建物),1101004,0810808,住宅大樓(11層含以上有電梯),鋼骨混凝土造,1,1,1,,有,135235,False,8,121.45116850000001,24.993944199999998
4,110,新北市土城區中央路四段285號二樓,土城區,22.0,房地(土地+建物),1101106,0880206,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,98435,False,2,121.41179679999999,24.9526968
5,110,新北市土城區學府路一段99巷23號四樓,土城區,36.0,房地(土地+建物),1101031,0740926,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,100664,False,4,121.45679840000001,24.987086599999998
6,110,新北市板橋區華江一路562號七樓,板橋區,0.0,房地(土地+建物)+車位,1101019,1100421,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,140836,False,7,121.4655581,25.0326678
7,110,新北市土城區學府路一段164巷33號二樓,土城區,34.0,房地(土地+建物),1101006,0760714,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,98106,False,2,121.4529718,24.9876382
8,110,新北市板橋區文化路二段235之1號三樓,板橋區,2.0,房地(土地+建物)+車位,1101109,1081101,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,1,1,1,坡道平面,有,188396,False,3,121.4709686,25.0285275
9,110,新北市土城區明德路一段68號六樓,土城區,28.0,房地(土地+建物)+車位,1101004,0820706,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,96175,False,6,121.4652346,24.983179399999997
10,110,新北市土城區中華路一段249號六樓,土城區,26.0,房地(土地+建物),1101028,0840121,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,108046,False,6,121.44081879999999,24.9812302
11,110,新北市板橋區文化路二段235之1號二樓,板橋區,2.0,房地(土地+建物)+車位,1101124,1081101,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,1,1,1,坡道平面,有,188063,False,2,121.4709686,25.0285275
12,110,新北市土城區中央路四段251號十二樓,土城區,6.0,房地(土地+建物)+車位,1101104,1040908,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,128330,False,12,121.4131793,24.9547468
16,110,新北市土城區延平街67號五樓,土城區,30.0,房地(土地+建物),1101028,0800803,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,113596,False,5,121.46771799999999,24.992814000000003
19,110,新北市板橋區懷德街2號九樓之一,板橋區,26.0,房地(土地+建物)+車位,1101118,0840915,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,161727,False,9,121.47589740000001,25.033212400000004
22,110,新北市板橋區文化路一段362號二十六樓之3,板橋區,11.0,房地(土地+建物)+車位,1101024,0990715,住宅大樓(11層含以上有電梯),鋼骨構造,4,2,3,坡道平面,有,159516,False,26,121.4687389,25.0235995
23,110,新北市土城區立德路12號五樓,土城區,40.0,房地(土地+建物),1101110,0701014,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,96022,False,5,121.46257329999999,24.987806899999995
24,110,新北市板橋區忠孝路48巷4弄61之2號五樓,板橋區,39.0,房地(土地+建物),1101206,0710213,公寓(5樓含以下無電梯),鋼筋混凝土造,7,0,7,,無,120721,False,5,121.45984929999999,25.0001641
25,110,新北市新莊區中正路195號十三樓,新莊區,5.0,房地(土地+建物)+車位,1101015,1051122,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,152687,False,13,121.45317959999998,25.036113
26,110,新北市五股區新城三路7號十樓,五股區,6.0,房地(土地+建物)+車位,1101030,1041112,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,坡道平面,有,101390,False,10,121.44747989999999,25.094149299999998
27,110,新北市林口區信義路299號四樓,林口區,8.0,房地(土地+建物)+車位,1101030,1020321,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,96459,False,4,121.3749723,25.0821827
28,110,新北市五股區成洲五路38號八樓,五股區,6.0,房地(土地+建物)+車位,1101111,1040903,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,87102,False,8,121.4528586,25.102075100000004
29,110,新北市五股區工商路162號九樓,五股區,24.0,房地(土地+建物)+車位,1101113,0861212,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,65582,False,9,121.4335122,25.087970300000002
30,110,新北市五股區工商路164號九樓,五股區,24.0,房地(土地+建物)+車位,1101113,0861212,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,65582,False,9,121.4334277,25.087743500000002
31,110,新北市新莊區天祥街47巷16弄8號三樓,新莊區,41.0,房地(土地+建物),1101115,0691205,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,2,,無,101363,False,3,121.41592430000001,25.028316399999998
32,110,新北市新莊區建安街25巷10號二樓,新莊區,24.0,房地(土地+建物)+車位,1101023,0860718,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,104987,False,2,121.42950580000002,25.026062000000003
33,110,新北市泰山區明志路二段181號四樓,泰山區,16.0,房地(土地+建物)+車位,1101117,0941226,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,88868,False,4,121.42765430000001,25.050150799999997
34,110,新北市泰山區忠孝街19巷3弄32號三樓,泰山區,1.0,房地(土地+建物),1101028,1091223,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,,有,104859,False,3,121.42670710000002,25.0659362
35,110,新北市林口區文化三路一段195號四樓,林口區,0.0,房地(土地+建物)+車位,1101012,1100412,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,125335,False,4,121.3620941,25.070192
36,110,新北市新莊區新泰路225巷6號三樓,新莊區,27.0,房地(土地+建物)+車位,1101016,0831221,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,104733,False,3,121.44585319999999,25.039337699999994
37,110,新北市新莊區中平路152巷47弄16號三樓,新莊區,3.0,房地(土地+建物)+車位,1101111,1070921,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,塔式車位,有,133782,False,3,121.4467228,25.0482063
38,110,新北市泰山區全興路228號十二樓,泰山區,17.0,房地(土地+建物)+車位,1101122,0930810,住宅大樓(11層含以上有電梯),鋼筋混凝土造,6,2,2,坡道平面,有,115301,False,12,121.43467419999999,25.0549565
39,110,新北市新莊區思源路245號三樓,新莊區,41.0,房地(土地+建物),1101103,0690805,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,105042,False,3,121.4596612,25.0472054
40,110,新北市新莊區雙鳳路90巷4弄11號三樓,新莊區,41.0,房地(土地+建物),1101104,0690212,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,1,,無,75352,False,3,121.4155082,25.0282766
41,110,新北市新莊區中正路340巷31號六樓,新莊區,1.0,房地(土地+建物)+車位,1101110,1090618,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,141237,False,6,121.44512060000001,25.0346585
42,110,新北市林口區新生街1號九樓,林口區,24.0,房地(土地+建物),1101108,0860419,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,,有,72953,False,9,121.39438190000001,25.077130000000004
43,110,新北市五股區芳洲一路82號七樓,五股區,0.0,房地(土地+建物)+車位,1101121,1100716,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,105279,False,7,121.4446449,25.085762499999994
44,110,新北市五股區芳洲一路86號七樓,五股區,0.0,房地(土地+建物)+車位,1101124,1100716,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,108199,False,7,121.4448284,25.0858168
45,110,新北市五股區芳洲一路90號四樓,五股區,0.0,房地(土地+建物)+車位,1101121,1100716,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,107461,False,4,121.444529,25.0857243
46,110,新北市五股區芳洲一路82號十樓,五股區,0.0,房地(土地+建物)+車位,1101122,1100716,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,107450,False,10,121.4446449,25.085762499999994
47,110,新北市林口區忠孝三路59號九樓,林口區,15.0,房地(土地+建物)+車位,1101108,0950530,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,100018,False,9,121.36082609999998,25.069021499999998
48,110,新北市新莊區榮華路二段77號十二樓,新莊區,6.0,房地(土地+建物)+車位,1101106,1040601,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道機械,有,147546,False,12,121.4484141,25.0554932
49,110,新北市新莊區幸福東路106號六樓之二,新莊區,9.0,房地(土地+建物)+車位,1101009,1011122,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,117647,False,6,121.46325200000001,25.0499832
50,110,新北市五股區芳洲一路48號九樓,五股區,6.0,房地(土地+建物)+車位,1101114,1040925,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,107019,False,9,121.443728,25.085858400000003
51,110,新北市新莊區新泰路277巷33弄3號,新莊區,40.0,房地(土地+建物),1101112,0701228,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,146069,False,1,121.44473779999998,25.0401438
52,110,新北市泰山區忠孝街19巷2弄12號五樓,泰山區,41.0,房地(土地+建物),1101030,0691120,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,50928,False,5,121.4280136,25.0656601
53,110,新北市新莊區民安西路88巷5弄92號七樓,新莊區,28.0,房地(土地+建物),1101122,0820830,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,,有,118477,False,7,121.42513840000001,25.019643400000003
54,110,新北市林口區文化三路一段199號十八樓,林口區,0.0,房地(土地+建物)+車位,1100914,1100412,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,147180,False,18,121.3621556,25.070279399999997
55,110,新北市新莊區建安街121巷15號,新莊區,31.0,房地(土地+建物),1101027,0790726,華廈(10層含以下有電梯),鋼筋混凝土造,4,0,1,,有,123882,False,1,121.42665199999999,25.0232726
56,110,新北市新店區北新路二段97巷9弄20號三樓,新店區,44.0,房地(土地+建物),1100821,0660630,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,173203,False,3,121.54213759999999,24.973679800000003
57,110,新北市新店區建國路132號八樓,新店區,22.0,房地(土地+建物)+車位,1101104,0881229,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,147601,False,8,121.5391442,24.978843100000002
58,110,新北市新店區十四張路73號十五樓,新店區,0.0,房地(土地+建物)+車位,1101114,1100730,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,1,1,坡道平面,有,152451,False,15,121.532129,24.9789305
59,110,新北市新店區安祥路104巷1弄5號,新店區,25.0,房地(土地+建物),1101011,0851226,透天厝,鋼筋混凝土造,4,2,4,,無,70719,False,1,121.48098229999998,24.962830999999998
60,110,新北市新店區中央二街12號四樓,新店區,38.0,房地(土地+建物),1100827,0720827,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,126707,False,4,121.52894339999999,24.9730129
61,110,新北市新店區十四張路79號四樓,新店區,0.0,房地(土地+建物)+車位,1101102,1100730,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,3,2,2,坡道平面,有,180744,False,4,121.53220619999999,24.978895599999998
62,110,新北市新店區檳榔路96巷5號,新店區,36.0,房地(土地+建物),1101120,0740418,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,175486,False,1,121.5431991,24.962522699999997
63,110,新北市新店區安祥路147巷58號二樓,新店區,30.0,房地(土地+建物)+車位,1101110,0800228,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,坡道平面,無,41988,False,2,121.47604679999999,24.956791700000004
64,110,新北市新店區竹林路2巷29弄5號五樓,新店區,40.0,房地(土地+建物),1101030,0700202,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,79120,False,5,121.55040269999999,24.9503669
65,110,新北市新店區中興路一段287巷26號五樓,新店區,43.0,房地(土地+建物),1101024,0671107,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,113665,False,5,121.54458020000001,24.969308599999994
66,110,新北市新店區溪園路501號九樓,新店區,19.0,房地(土地+建物),1101010,0911121,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,188841,False,9,121.52369429999999,24.977584099999998
67,110,新北市新店區安康路三段361號七樓,新店區,5.0,房地(土地+建物)+車位,1101120,1050714,華廈(10層含以下有電梯),鋼筋混凝土構造,3,2,2,其他,有,90278,False,7,121.4839883,24.9506989
68,110,新北市新店區溪園路487號十二樓,新店區,19.0,房地(土地+建物)+車位,1100917,0911121,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,坡道平面,有,157551,False,12,121.52369209999999,24.9775934
69,110,新北市新店區北宜路二段82－24號七樓,新店區,27.0,房地(土地+建物),1101111,0831126,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,,有,99992,False,7,121.55385679999999,24.952015000000003
70,110,新北市新店區安康路二段149之35號五樓,新店區,12.0,房地(土地+建物)+車位,1101030,0980520,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,140351,False,5,121.51103339999997,24.959756100000003
71,110,新北市汐止區長青路131巷2弄12號,汐止區,40.0,房地(土地+建物),1100523,0701128,透天厝,加強磚造,3,2,3,,無,118143,False,1,121.62620324999999,25.0949702
72,110,新北市汐止區茄苳路132之3號九樓,汐止區,12.0,房地(土地+建物)+車位,1101113,0981204,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道機械,有,105596,False,9,121.66845739999998,25.069919399999996
73,110,新北市汐止區鄉長路一段31號14樓之7,汐止區,24.0,房地(土地+建物)+車位,1101102,0860111,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,1,1,坡道機械,有,70036,False,14,121.66520969999999,25.074994899999997
74,110,新北市汐止區樟樹二路462號五樓,汐止區,4.0,房地(土地+建物)+車位,1101026,1060518,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,99621,False,5,121.6433846,25.0736078
75,110,新北市金山區山城路90巷37號2樓,金山區,24.0,房地(土地+建物),1101128,0860521,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,,有,28324,False,2,121.5969229,25.2008321
76,110,新北市汐止區樟樹一路129巷18弄15號5樓,汐止區,33.0,房地(土地+建物),1101106,0771217,公寓(5樓含以下無電梯),鋼筋混凝土造,5,3,3,,無,71170,False,5,121.64127099999997,25.065195499999998
77,110,新北市汐止區保一街8巷22號5樓,汐止區,27.0,房地(土地+建物),1101205,0831223,公寓(5樓含以下無電梯),鋼筋混凝土造,5,2,2,,無,55994,False,5,121.6738051,25.0813534
87,110,新北市汐止區福德二路81號七樓之3,汐止區,12.0,房地(土地+建物)+車位,1101104,0981231,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,127616,False,7,121.6333265,25.066355899999998
88,110,新北市汐止區大同路三段396號9樓,汐止區,26.0,房地(土地+建物),1101111,0840510,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,60338,False,9,121.681834,25.071381999999996
89,110,新北市汐止區樟樹二路271號5樓,汐止區,21.0,房地(土地+建物),1101107,0890819,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,103898,False,5,121.64086999999999,25.068885999999996
90,110,新北市汐止區龍安路28巷6號23樓之9,汐止區,24.0,房地(土地+建物)+車位,1101121,0860703,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,115956,False,23,121.65513749999998,25.064573
