,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,105,臺北市中正區和平西路一段170號五樓,中正區,37.0,房地(土地+建物),1051007,0681226,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,169035,False
1,105,臺北市文山區政大二街260巷2號,文山區,7.0,房地(土地+建物)+車位,1050924,0981019,華廈(10層含以下有電梯),鋼筋混凝土造,6,3,4,坡道平面,有,106135,False
2,105,臺北市中正區銅山街27之1號七樓,中正區,33.0,房地(土地+建物),1050907,0720809,華廈(10層含以下有電梯),鋼筋混凝土造,4,3,3,,有,273869,False
3,105,臺北市萬華區萬大路387巷55號二樓,萬華區,28.0,房地(土地+建物),1050923,0771223,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,133677,False
4,105,臺北市萬華區康定路103號二十樓之7,萬華區,0.0,房地(土地+建物),1051014,1050331,住宅大樓(11層含以上有電梯),見其他登記事項,2,2,1,,有,212951,False
5,105,臺北市萬華區康定路105號二十二樓,萬華區,0.0,房地(土地+建物),1051014,1050331,套房(1房1廳1衛),見其他登記事項,1,1,1,,無,205454,False
6,105,臺北市萬華區康定路105號二十樓之3,萬華區,0.0,房地(土地+建物)+車位,1050710,1050331,住宅大樓(11層含以上有電梯),見其他登記事項,3,2,1,坡道平面,有,227511,False
7,105,臺北市中山區新生北路二段40號16樓之7,中山區,20.0,房地(土地+建物),1051004,0850718,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,201102,False
8,105,臺北市中山區新生北路二段38號16樓之6,中山區,20.0,房地(土地+建物),1051019,0850718,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,178253,False
9,105,臺北市內湖區大湖山莊街219巷55號,內湖區,2.0,房地(土地+建物)+車位,1051018,1030807,華廈(10層含以下有電梯),鋼筋混凝土造,0,0,0,坡道平面,有,150214,False
10,105,臺北市內湖區康寧路三段249號六樓,內湖區,22.0,房地(土地+建物)+車位,1050919,0830701,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,升降平面,有,124068,False
11,105,臺北市中山區民權東路一段25號11樓,中山區,8.0,房地(土地+建物)+車位,1050919,0971128,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,升降平面,有,228955,False
12,105,臺北市中山區建國北路二段64巷6號二樓,中山區,44.0,房地(土地+建物),1050928,0610901,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,200942,False
13,105,臺北市南港區八德路四段871號10樓之6,南港區,21.0,房地(土地+建物),1050915,0841219,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,168667,False
14,105,臺北市松山區民族東路671之1號6樓,松山區,35.0,房地(土地+建物),1050926,0701223,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,162551,False
15,105,臺北市士林區通河東街二段10巷5弄11號2樓,士林區,42.0,房地(土地+建物),1051010,0631211,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,123358,False
16,105,臺北市北投區三合街一段82巷111號六樓,北投區,0.0,房地(土地+建物)+車位,1050513,1050804,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,217798,False
18,105,臺北市北投區明德路24號,北投區,42.0,房地(土地+建物),1050902,0630920,公寓(5樓含以下無電梯),鋼筋混凝土造,0,0,0,,無,252483,False
21,105,臺北市大安區新生南路一段165巷41之1號4樓,大安區,22.0,房地(土地+建物)+車位,1051002,0831201,華廈(10層含以下有電梯),鋼筋混凝土造,5,4,3,升降平面,有,201377,False
22,105,臺北市文山區景福街3巷23號2樓,文山區,34.0,房地(土地+建物),1051003,0710817,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,67539,False
23,105,臺北市文山區指南路三段32巷7號2樓,文山區,6.0,房地(土地+建物),1050829,0990806,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,143508,False
24,105,臺北市大安區師大路105巷18號3樓之2,大安區,9.0,房地(土地+建物),1051004,0961127,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,322275,False
25,105,臺北市士林區天母東路8巷27號7樓之6,士林區,40.0,房地(土地+建物),1051009,0651106,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,,有,151137,False
26,105,臺北市士林區東山路138號10樓,士林區,14.0,房地(土地+建物)+車位,1050911,0911104,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,3,坡道平面,有,203706,False
27,105,臺北市信義區松平路74號3樓,信義區,18.0,房地(土地+建物)+車位,1050919,0870428,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,233404,False
28,105,臺北市大安區信義路四段256號十二樓之3,大安區,34.0,房地(土地+建物),1051006,0711106,套房(1房1廳1衛),鋼筋混凝土造,1,0,1,,無,277129,False
29,105,臺北市大安區建國南路一段291巷13號6樓之1,大安區,28.0,房地(土地+建物),1051011,0770216,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,304446,False
30,105,臺北市大安區敦化南路二段63巷21弄31號3樓,大安區,23.0,房地(土地+建物)+車位,1050719,0820813,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,升降機械,有,246265,False
31,105,臺北市士林區中山北路七段219巷16之10號二樓,士林區,32.0,房地(土地+建物)+車位,1051006,0730804,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,137457,False
32,105,臺北市松山區南京東路5段250巷2弄37之1號五樓,松山區,42.0,房地(土地+建物),1051007,0630320,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,160485,False
33,105,臺北市松山區塔悠路222號四樓,松山區,21.0,房地(土地+建物)+車位,1051004,0841125,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,升降機械,有,152068,False
34,105,臺北市松山區南京東路四段52巷8號3樓,松山區,9.0,房地(土地+建物),1050702,0960209,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,262345,False
35,105,臺北市中山區民權東路一段21號八樓,中山區,8.0,房地(土地+建物)+車位,1051024,0971128,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,1,坡道機械,有,177517,False
36,105,臺北市內湖區行善路25巷30號,內湖區,19.0,房地(土地+建物),1050925,0860526,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,118411,False
37,105,臺北市中山區通北街118巷11號2樓,中山區,17.0,房地(土地+建物)+車位,1050928,0880511,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,115471,False
38,105,臺北市內湖區內湖路三段60巷8弄36號三樓,內湖區,35.0,房地(土地+建物),1050930,0700216,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,104603,False
39,105,臺北市中正區濟南路二段21號三樓之1,中正區,15.0,房地(土地+建物)+車位,1051013,0901205,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,升降機械,有,158246,False
40,105,臺北市萬華區和平西路三段384號五樓之13,萬華區,35.0,房地(土地+建物),1051014,0700706,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,112342,False
