,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
0,107,臺北市文山區辛亥路七段84巷5號4樓之5,文山區,18.0,房地(土地+建物),1070311,0891025,華廈(10層含以下有電梯),3,2,2,,有,149357,False,4,121.55474809999998,24.9816579
1,107,臺北市文山區興隆路二段203巷16號十樓,文山區,19.0,房地(土地+建物)+車位,1070426,0880510,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,135640,False,10,121.5487393,25.0021184
2,107,臺北市文山區保儀路62之3號23樓,文山區,4.0,房地(土地+建物)+車位,1070420,1030613,住宅大樓(11層含以上有電梯),0,0,0,坡道平面,有,177772,False,23,121.5684965,24.987683
3,107,臺北市大同區南京西路68號十五樓之1,大同區,12.0,房地(土地+建物)+車位,1070410,0951115,住宅大樓(11層含以上有電梯),2,2,1,坡道機械,有,132229,False,15,121.51853870000001,25.0529166
4,107,臺北市萬華區西園路二段320巷36弄53號二樓,萬華區,47.0,房地(土地+建物),1070419,0601012,公寓(5樓含以下無電梯),3,1,1,,無,101348,False,2,121.49086559999999,25.027126
5,107,臺北市大同區承德路二段69號四樓,大同區,1.0,房地(土地+建物)+車位,1070322,1060925,住宅大樓(11層含以上有電梯),3,2,3,坡道平面,有,279783,False,4,121.5184132,25.055644599999997
6,107,臺北市內湖區民權東路六段296巷26號7樓之2,內湖區,22.0,房地(土地+建物),1070401,0850628,住宅大樓(11層含以上有電梯),2,2,1,,有,202293,False,7,121.60671079999999,25.072148600000002
7,107,臺北市中山區錦州街21號10樓,中山區,36.0,房地(土地+建物),1070403,0711204,套房(1房1廳1衛),1,1,1,,無,119234,False,10,121.52508919999998,25.060448100000002
8,107,臺北市內湖區內湖路一段91巷57號9樓之3,內湖區,15.0,房地(土地+建物)+車位,1070409,0921205,住宅大樓(11層含以上有電梯),1,2,1,坡道機械,有,147755,False,9,121.5622878,25.0888281
9,107,臺北市中山區林森北路85巷11號四樓之6,中山區,31.0,房地(土地+建物),1070410,0760710,套房(1房1廳1衛),1,1,1,,無,141497,False,4,121.52552870000001,25.049717899999997
10,107,臺北市內湖區成功路二段317巷17號8樓,內湖區,3.0,房地(土地+建物)+車位,1070414,1040630,住宅大樓(11層含以上有電梯),4,2,3,坡道平面,有,145378,False,8,121.5922792,25.0695698
11,107,臺北市中山區雙城街18巷3號五樓,中山區,45.0,房地(土地+建物),1070413,0620410,公寓(5樓含以下無電梯),4,2,2,,無,144594,False,5,121.52391589999999,25.065491299999998
12,107,臺北市內湖區康樂街186巷34號四樓,內湖區,12.0,房地(土地+建物)+車位,1070401,0951120,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,125112,False,4,121.6205772,25.077457
13,107,臺北市中山區長安東路一段65巷22號5樓,中山區,4.0,房地(土地+建物),1070413,1030703,華廈(10層含以下有電梯),0,0,0,,有,206521,False,5,121.527497,25.049034700000004
14,107,臺北市南港區經貿二路235巷53號12樓,南港區,8.0,房地(土地+建物)+車位,1070408,0990409,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,188616,False,12,121.61568659999999,25.062014599999998
15,107,臺北市信義區永吉路73號12樓,信義區,18.0,房地(土地+建物),1070414,0891026,住宅大樓(11層含以上有電梯),3,2,2,,有,242627,False,12,121.5696079,25.045894099999998
16,107,臺北市南港區經貿二路235巷31號九樓,南港區,4.0,房地(土地+建物)+車位,1070323,1031204,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,211898,False,9,121.61587519999999,25.061427699999996
17,107,臺北市北投區公館路231巷10號五樓,北投區,25.0,房地(土地+建物),1070417,0821019,公寓(5樓含以下無電梯),3,2,2,,無,138510,False,5,121.5087023,25.1265554
18,107,臺北市北投區知行路214巷33號10樓,北投區,7.0,房地(土地+建物)+車位,1070326,1000919,住宅大樓(11層含以上有電梯),4,2,3,坡道平面,有,110634,False,10,121.4688881,25.1200808
19,107,臺北市大安區忠孝東路四段77巷17號六樓之1,大安區,2.0,房地(土地+建物)+車位,1070410,1051209,華廈(10層含以下有電梯),1,2,1,塔式車位,有,412569,False,6,121.5472636,25.042202499999995
20,107,臺北市大安區羅斯福路二段111號十三樓之1,大安區,1.0,房地(土地+建物)+車位,1070418,1060828,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,347829,False,13,121.5246447,25.024480399999998
21,107,臺北市萬華區長沙街二段88號4樓之1,萬華區,12.0,房地(土地+建物)+車位,1070304,0950127,住宅大樓(11層含以上有電梯),2,2,2,其他,有,166648,False,4,121.50489999999999,25.040367000000003
22,107,臺北市中山區北安路821巷4弄6號,中山區,42.0,房地(土地+建物),1070325,0650114,公寓(5樓含以下無電梯),4,2,2,,無,203293,False,1,121.5561994,25.0854999
23,107,臺北市內湖區文德路210巷30弄6號6樓之5,內湖區,8.0,房地(土地+建物)+車位,1070428,0990324,住宅大樓(11層含以上有電梯),2,1,1,坡道機械,有,179229,False,6,121.58432979999999,25.0772622
24,107,臺北市內湖區金龍路203之1號2樓,內湖區,32.0,房地(土地+建物),1070416,0750121,華廈(10層含以下有電梯),3,2,2,,有,165518,False,2,121.58759200000001,25.087806000000004
25,107,臺北市南港區福德街339巷26號3樓,南港區,43.0,房地(土地+建物),1070410,0641203,公寓(5樓含以下無電梯),2,2,1,,無,126803,False,3,121.58894309999998,25.0385511
26,107,臺北市松山區三民路43巷2號9樓之1,松山區,12.0,房地(土地+建物)+車位,1070327,0951218,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,195387,False,9,121.5617684,25.056221299999994
27,107,臺北市松山區八德路二段441號7樓之1,松山區,37.0,房地(土地+建物),1070306,0700907,住宅大樓(11層含以上有電梯),3,2,2,,有,227144,False,7,121.54701550000001,25.048343900000003
28,107,臺北市南港區南港路二段178巷26號12樓,南港區,25.0,房地(土地+建物),1070408,0821123,住宅大樓(11層含以上有電梯),2,2,1,,有,193638,False,12,121.60037299999999,25.0543299
29,107,臺北市南港區向陽路258巷25號2樓,南港區,11.0,房地(土地+建物)+車位,1070330,0961217,華廈(10層含以下有電梯),3,2,2,坡道平面,有,167313,False,2,121.5939463,25.058322099999998
30,107,臺北市士林區延平北路六段213號5樓之2,士林區,2.0,房地(土地+建物)+車位,1070409,1050525,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,120498,False,5,121.5055213,25.089352999999996
31,107,臺北市士林區中山北路七段114巷63之1號,士林區,35.0,房地(土地+建物),1070417,0720301,華廈(10層含以下有電梯),3,2,2,,有,134005,False,1,121.53561699999999,25.1230459
32,107,臺北市大安區忠孝東路四段205巷7弄8號11樓之1,大安區,41.0,房地(土地+建物)+車位,1070317,0660713,住宅大樓(11層含以上有電梯),5,2,2,坡道平面,有,279923,False,11,121.5524459,25.0419784
33,107,臺北市士林區士東路266巷12弄6之1號,士林區,37.0,房地(土地+建物),1070427,0700904,公寓(5樓含以下無電梯),2,1,1,,無,173210,False,1,121.5362571,25.111893300000002
34,107,臺北市士林區忠誠路一段18號4樓,士林區,13.0,房地(土地+建物)+車位,1070423,0941228,住宅大樓(11層含以上有電梯),3,2,2,升降機械,有,286669,False,4,121.5257318,25.104378099999995
35,107,臺北市北投區西安街一段165巷6弄2號,北投區,44.0,房地(土地+建物),1070413,0631118,公寓(5樓含以下無電梯),3,1,1,,無,87873,False,1,121.5181399,25.109516
36,107,臺北市士林區天母北路55號三樓,士林區,32.0,房地(土地+建物),1070416,0751212,華廈(10層含以下有電梯),4,2,2,,有,81004,False,3,121.5268032,25.121192
37,107,臺北市士林區天母北路57號三樓,士林區,32.0,房地(土地+建物),1070416,0751212,華廈(10層含以下有電梯),3,2,2,,有,82787,False,3,121.5267963,25.121239700000004
38,107,臺北市信義區松山路540巷18號3樓,信義區,28.0,房地(土地+建物),1070405,0790618,華廈(10層含以下有電梯),3,2,2,,有,161884,False,3,121.5774168,25.037653799999998
39,107,臺北市中山區敬業三路170號5樓,中山區,18.0,房地(土地+建物)+車位,1070211,0890628,華廈(10層含以下有電梯),4,1,2,坡道平面,有,157311,False,5,121.55663439999998,25.078947300000003
40,107,臺北市文山區木新路三段95巷42號6樓之2,文山區,11.0,房地(土地+建物)+車位,1070413,0961031,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,183073,False,6,121.56326089999999,24.981191699999997
