Column1,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat,_1
4137,統一超商股份有限公司,金門縣第十分公司,金門縣烈嶼鄉林湖村東林街156號1樓,1,0,118.2478582,24.4280121,
17306,全家便利商店股份有限公司,金門縣第七分公司,金門縣烈嶼鄉林湖村西路35-12號,1,0,118.24813745,24.4371319,
9053,統一超商股份有限公司,金門縣第二十七分公司,金門縣金城鎮金門城128-6號,1,0,118.308021,24.40326595,
5056,統一超商股份有限公司,金門縣第十四分公司,金門縣金城鎮賢庵里西海路3段1、3、5號,1,0,118.3104892,24.4238078,
733,全聯實業股份有限公司,金門慈湖分公司,金門縣金寧鄉下埔下56-1號1樓,1,0,118.3116505,24.4395621,
6784,統一超商股份有限公司,金門縣第二十五分公司,金門縣金寧鄉慈湖路1段69號、71號1樓,1,0,118.3117476,24.4412444,
1291,全聯實業股份有限公司,金門民權分公司,金門縣金城鎮西門里民權路226巷1弄12、16號,1,0,118.31352985,24.4196036,
2233,統一超商股份有限公司,金門縣第四分公司,金門縣金城鎮民權路73號1樓、2樓，75號1樓、2樓，光前路85－2號1樓，85－3號1樓,1,0,118.3144019,24.4328312,
3501,統一超商股份有限公司,金門縣第一分公司,金門縣金城鎮南門里浯江北堤路100號1樓,1,0,118.3156698,24.4293482,
15672,全家便利商店股份有限公司,金門縣第四分公司,金門縣金城鎮南門里光前路39-5號,1,0,118.3158124,24.4325095,
15712,全家便利商店股份有限公司,金門縣第五分公司,金門縣金城鎮北門里中興路146巷11號,1,0,118.3195245,24.4335002,
5165,統一超商股份有限公司,金門縣第十五分公司,金門縣金城鎮西門里民權路192、196號1樓,1,0,118.3197192,24.4387435,
2032,統一超商股份有限公司,金門縣第二分公司,金門縣金城鎮民生路6號1樓,1,0,118.3202512,24.4334764,
6392,統一超商股份有限公司,金門縣第十六分公司,金門縣金寧鄉伯玉路1段222-8號,1,0,118.3273181,24.435893,
4819,統一超商股份有限公司,金門縣第十三分公司,金門縣金寧鄉盤山村環島北路1段711號,1,0,118.3297836,24.4472161,
6714,統一超商股份有限公司,金門縣第二十四分公司,金門縣金寧鄉環島北路1段162號1樓,1,0,118.3297836,24.4472161,
14710,全家便利商店股份有限公司,金門縣第二分公司,金門縣金寧鄉榜林村林湖路295-5號、295-6號1樓,1,0,118.3303075,24.4319143,
