鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),基隆市中正區觀海街１１９號２樓,6.07,住,,,1040715,土地2建物1車位0,二層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880114,32.25,1,1,1,有,有,1120000,34729,,0.0,0,,RPVNMLOJQHKFFBC28CA,20.79,0.0,3.35,,
仁愛區,房地(土地+建物),基隆市仁愛區復興街１１號,54.0,住,,,1040627,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,88.0,3,2,1,有,無,4200000,47727,,0.0,0,含增建部分一併移轉,RPWNMLOJQHKFFBC38CA,88.0,0.0,0.0,,
信義區,車位,基隆市信義區深澳坑路2之25號等公共設施,0.0,,,,1040720,土地0建物0車位1,,,其他,,,,29.69,0,0,0,有,無,575000,,升降平面,0.0,575000,,RPTNMLNJQHKFFBC97CA,0.0,0.0,0.0,,
仁愛區,房地(土地+建物),基隆市仁愛區愛二路６３號,146.0,商,,,1040525,土地2建物1車位0,一層，二層，三層，四層，五層，六層，騎樓,六層,辦公商業大樓,住商用,鋼筋混凝土造,0651021,736.27,10,1,0,有,無,69880000,94911,,0.0,0,,RPPNMLRJQHKFFBC97CA,632.3,0.0,0.0,,
仁愛區,房地(土地+建物),基隆市仁愛區仁三路５０號三樓,39.25,商,,,1040605,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土加強磚造,0590427,141.31,3,1,1,有,無,11500000,81381,,0.0,0,,RPPNMLSJQHKFFBC08CA,141.31,0.0,0.0,,
信義區,房地(土地+建物)+車位,基隆市信義區深溪路６９號２樓之２,33.25,住,,,1040623,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,164.41,3,2,2,有,有,7280000,44280,坡道平面,35.71,0,,RPSNMLKKQHKFFBC67CA,91.92,0.0,9.72,,
中正區,車位,基隆市中正區新豐街470號等共同使用,1.7,其他,,,1040625,土地0建物0車位1,,,其他,,,,34.17,0,0,0,有,有,530000,,坡道平面,34.17,530000,,RPWNMLRKQHKFFBC78CA,0.0,0.0,0.0,,
仁愛區,房地(土地+建物),基隆市仁愛區南榮路１３４巷２之３號３樓,12.02,住,,,1040719,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840926,96.96000000000001,3,1,1,有,有,3800000,39191,,0.0,0,,RPTNMLRKQHKFFBC48CA,74.47,0.0,3.51,,
信義區,房地(土地+建物),基隆市信義區東信路１２４之２號,19.1,住,,,1040515,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701214,72.81,3,1,1,有,無,1200000,16481,,0.0,0,母女間買賣案件.有資金流程.,RPPNMLMJRHKFFBC57CA,63.58,0.0,9.23,,
