鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區明德路一段３５號四樓,20.24,住,,,1050626,土地3建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850203,145.14,3,2,2,有,有,12500000,86130,坡道平面,39.44,0,,RPXSMLMJQHLFFAF09CA,84.55,0.0,13.03,,
板橋區,房地(土地+建物)+車位,新北市板橋區長江路二段５３號二樓,2.13,住,,,1050602,土地1建物1車位1,二層,二十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870622,36.34,1,1,1,有,有,5000000,137589,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。受債權債務影響或債務抵償之交易。,RPPQMLLJQHLFFAF97CA,23.73,0.0,5.05,,
板橋區,房地(土地+建物)+車位,新北市板橋區莊敬路8-5號十五樓,9.02,商,,,1050629,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040826,102.52000000000001,3,1,1,有,有,20680000,193024,坡道平面,1.6,1200000,,RPTNMLMJQHLFFAF18CA,57.17,4.45,3.0,,
板橋區,房地(土地+建物),新北市板橋區大觀路二段１７４巷１６６弄１５號,29.63,住,,,1050621,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,68.5,2,2,2,有,無,10000000,145985,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLMJQHLFFAF87CA,68.5,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區華東街２７２之２號四樓,8.8,住,,,1050722,土地2建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,95.25999999999999,2,2,1,有,無,14380000,150955,,0.0,0,本案尚未成立管理委員會.,RPVOMLMJQHLFFAF48CA,57.13,1.56,8.3,,
板橋區,房地(土地+建物)+車位,新北市板橋區華東街２８８號八樓,18.48,住,,,1050722,土地2建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,212.13,3,2,2,有,無,34300000,170982,坡道平面,26.73,2600000,本案尚未成立管理委員會.,RPWOMLMJQHLFFAF58CA,108.54,10.5,11.29,,
板橋區,房地(土地+建物),新北市板橋區館前東路116號2樓之5,7.02,住,,,1050625,土地3建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830128,48.51,1,1,1,有,有,5500000,113379,,0.0,0,含增建或未登記建物。,RPTPMLOJQHLFFAF58CA,31.83,0.0,0.0,,
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道三段270巷17號7樓,18.87,工,,,1050611,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940128,165.13,3,1,2,有,有,18200000,110216,坡道平面,38.09,0,含增建或未登記建物。,RPTNMLPJQHLFFAF48CA,85.86,0.0,10.84,,
板橋區,土地,海山段1745-2地號,51.0,其他,,,1050706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8665200,169906,,0.0,0,公共設施保留地之交易。,RPOOMLSJQHLFFAF38CA,0.0,0.0,0.0,,
板橋區,車位,新北市板橋區長安街２６１巷１１至４７號單號地下室底一、二層,0.63,住,,,1050717,土地0建物0車位1,地下一層，地下二層,十六層,其他,見使用執照,鋼筋混凝土造,0830606,39.17,0,0,0,有,有,1760000,,坡道平面,39.17,1760000,,RPPNMLTJQHLFFAF48CA,0.0,0.0,0.0,,
板橋區,土地,幸福段161-1地號,7.48,其他,,,1050701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,106952,,0.0,0,包含公共設施保留地之交易。,RPOPMLTJQHLFFAF58CA,0.0,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區長江路一段４８巷２弄４之３號,25.4,住,,,1050509,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,79.63,3,1,1,有,無,6500000,81628,,0.0,0,,RPRPMLTJQHLFFAF88CA,79.63,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區民治街１３３巷９號,28.0,住,,,1050718,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,60.99,0,0,0,無,無,7500000,122971,,0.0,0,,RPOPMLKKQHLFFAF77CA,60.99,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區金華街４３之３號,28.75,住,,,1050608,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661109,84.01,3,2,1,有,無,6600000,78562,,0.0,0,,RPTPMLLKQHLFFAF38CA,84.01,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區篤行路二段161巷2號十三樓之一,13.26,商,,,1050610,土地2建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811022,94.95,2,2,1,有,有,7500000,78989,,0.0,0,,RPXOMLMKQHLFFAF78CA,69.08,0.0,5.59,,
