鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),臺北市中正區金門街６之７號,10.71,住,,,1051102,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,31.86,0,0,0,無,無,7710000,241996,,0.0,0,二親等買賣,RPQNMLRJKHMFFAA37CA,31.86,0.0,0.0,,
文山區,土地,政大段二小段111地號,104.0,其他,,,1051208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11300000,108654,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPUNMLMJKHMFFAA27CA,0.0,0.0,0.0,,
中正區,房地(土地+建物),臺北市中正區金華街17號7樓,12.88,商,,,1051229,土地5建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0790703,125.39,3,2,2,有,有,29680000,236701,,0.0,0,含增建或未登記建物。,RPPRMLTJKHMFFAA87CA,98.34,1.3,0.0,,
中正區,車位,臺北市中正區羅斯福路二段８巷８號八樓之１,0.15,住,,,1060116,土地0建物0車位1,八層,九層,其他,住家用,鋼筋混凝土造,1000408,15.84,0,0,0,有,有,1300000,,坡道機械,15.84,1300000,,RPSOMLPKKHMFFAA57CA,0.0,0.0,0.0,,
中正區,房地(土地+建物),臺北市中正區新生南路一段14號5樓之1,15.23,其他,,,1051221,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741210,121.09,3,2,2,有,有,27500000,227104,,0.0,0,含增建或未登記建物。,RPSNMLQJKHMFFBA57CA,89.95,0.0,13.02,,
萬華區,房地(土地+建物),臺北市萬華區長沙街二段45號9樓,17.0,商,,,1051211,土地2建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721125,157.12,3,2,1,有,無,22080000,140530,,0.0,0,含增建或未登記建物。,RPTNMLRJKHMFFBA77CA,145.77,0.0,3.28,,
中正區,房地(土地+建物)+車位,臺北市中正區中華路一段９５巷７號十樓,20.92,商,,,1051230,土地1建物1車位2,十層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050622,328.99,0,0,0,無,無,78500000,302036,坡道平面,91.27,6700000,,RPSNMLPKKHMFFBA57CA,145.48,0.0,16.03,,
內湖區,房地(土地+建物),臺北市內湖區康樂街151巷5之1號,18.41,住,,,1051217,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830707,65.87,2,1,1,有,有,10400000,157887,,0.0,0,價格含增建或未辦保存登記建物,RPQOMLQJKHMFFCA57CA,47.91,6.21,0.0,,
中山區,房地(土地+建物),臺北市中山區新生北路二段58巷6號4樓,10.84,商,,,1050410,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740320,76.46000000000001,2,2,1,有,有,10600000,138635,,0.0,0,共有人數2人。含增建或未登記建物。,RPSPMLQJKHMFFCA87CA,55.78,0.0,8.21,,
中山區,房地(土地+建物),臺北市中山區民權東路二段９２巷１弄９號２樓之１,12.32,住,,,1051221,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810427,42.23,2,1,1,有,無,7300000,172863,,0.0,0,,RPORMLRJKHMFFCA77CA,23.93,0.0,4.2,,
中山區,房地(土地+建物)+車位,臺北市中山區長安東路二段１６６號七樓之２,8.2,商,,,1051224,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050411,148.92000000000002,0,0,0,無,有,32900000,311818,坡道平面,52.71,2900000,,RPOOMLTJKHMFFCA67CA,52.97,0.0,5.8,,
內湖區,房地(土地+建物)+車位,臺北市內湖區安泰街８９號二樓之１,26.98,住,,,1051225,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970619,173.57999999999998,3,2,2,有,有,15680000,90333,坡道平面,0.0,0,,RPUOMLKKKHMFFCA47CA,72.89,7.58,11.69,,
內湖區,車位,臺北市內湖區行愛路78巷28號地下一層,5.28,工,,,1060117,土地0建物0車位1,地下一層,六層,其他,停車空間,鋼筋混凝土造,0920113,31.4,0,0,0,有,有,1500000,,坡道平面,31.4,1500000,,RPPPMLPKKHMFFCA57CA,0.0,0.0,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１９１巷１７號三樓,56.53,住,,,1051231,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0980120,139.39,2,1,2,有,無,23800000,170744,坡道機械,0.0,0,,RPWOMLSKKHMFFCA48CA,72.87,8.86,8.33,,
中山區,房地(土地+建物),臺北市中山區吉林路３６９號二樓之２２,6.04,住,,,1060113,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681219,36.07,1,0,1,有,有,5100000,141392,,0.0,0,陽台外推,RPVPMLNLKHMFFCA08CA,25.69,0.0,3.88,,
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街１２５號七樓之１,15.25,住,,,1051221,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,110.16999999999999,4,2,2,有,有,23000000,208768,坡道平面,0.0,0,,RPXOMLLJLHMFFCA87CA,57.5,2.87,6.57,,
內湖區,車位,臺北市內湖區瑞光路１９２號地下二層,6.35,其他,,,1060120,土地0建物0車位2,地下二層,十二層,其他,停車空間,鋼筋混凝土造,0891106,91.21,0,0,0,有,有,2500000,,坡道平面,0.0,2500000,,RPOQMLOLMHMFFCA77CA,0.0,0.0,0.0,,
松山區,房地(土地+建物),臺北市松山區民生東路五段198號16樓之6,2.49,商,,,1051215,土地1建物1車位0,十六層,二十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780629,37.81,1,1,1,有,有,7100000,187781,,0.0,0,含增建或未登記建物。,RPSNMLQJKHMFFDA77CA,26.49,0.0,4.48,,
松山區,房地(土地+建物),臺北市松山區南京東路四段197號7樓之3,7.8,商,,,1051225,土地2建物1車位0,七層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0681027,79.82,0,1,1,有,有,14260000,178652,,0.0,0,含增建或未登記建物。,RPWOMLQJKHMFFDA28CA,59.3,0.0,7.03,,
信義區,房地(土地+建物),臺北市信義區吳興街260巷19弄1號12樓,32.27,住,,,1051030,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900907,136.28,3,2,2,有,有,26200000,192251,,0.0,0,,RPXOMLQJKHMFFDA38CA,76.71,0.0,11.04,,
松山區,房地(土地+建物),臺北市松山區南京東路五段234號7樓之4,9.4,其他,,,1051231,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0711110,128.91,3,2,2,有,有,23400000,181522,,0.0,0,含增建或未登記建物。,RPPPMLQJKHMFFDA67CA,96.23,0.0,5.48,,
松山區,房地(土地+建物)+車位,臺北市松山區八德路二段399號6樓之6,3.99,商,,,1060106,土地1建物1車位1,六層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950823,56.32,1,1,1,有,有,13000000,230824,坡道機械,0.0,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。,RPPOMLQJKHMFFDA57CA,21.87,1.12,3.08,,
松山區,房地(土地+建物),臺北市松山區南京東路四段186號10樓之10,8.52,商,,,1051226,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730217,102.28,3,2,2,有,有,20160000,197106,,0.0,0,含增建或未登記建物。,RPTOMLQJKHMFFDA97CA,75.42,0.0,9.72,,
