鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),基隆市信義區東信路55巷9號,21.0,住,,,1060722,土地3建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610120,66.22,3,2,1,有,無,有,9500,143,,0.0,0,聲寶一對一分離式冷氣1台、熱水器1台、瓦斯爐1台、抽油煙機1台、窗型冷氣1台,RPRNMLLJQHMFFBC97CC
中正區,房地(土地+建物),基隆市中正區中正路277之1號,23.4,商,,,1060707,土地2建物1車位0,一層,4,店面(店鋪),住商用,加強磚造,0591006,114.89,1,1,1,有,無,有,18000,157,,0.0,0,,RPPNMLOJQHMFFBC18DC
七堵區,土地,五堵段五堵北小段816-1地號,796.0,住,,,1060828,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,50000,63,,0.0,0,此標的為空地無地上物承租方作為停車場使用,RPVNMLLMQHMFFCC78CC
信義區,房地(土地+建物),基隆市信義區正信路12巷2-2號3樓,18.4,住,,,1060803,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710601,54.2,1,1,1,有,無,有,10000,185,,0.0,0,,RPPNMLOJRHMFFBC18CC
仁愛區,建物,基隆市仁愛區復興街18號1樓,0.0,住,,,1060905,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0851106,116.54,0,0,0,無,無,無,30000,257,,0.0,0,,RPSNMLLKRHMFFBC28CC
仁愛區,建物,基隆市仁愛區仁一路257號22樓之1,0.0,商,,,1060822,土地0建物1車位0,二十二層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970204,57.75,0,0,0,無,無,有,23000,398,,0.0,0,,RPPOMLMKRHMFFBC18CC
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路21-18號9樓,22.07,住,,,1060823,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961116,121.05,3,2,2,有,有,有,19000,157,坡道平面,31.55,0,租金含車位管理費,RPRNMLMKRHMFFCC38CC
七堵區,房地(土地+建物),基隆市七堵區崇孝街42巷51號3樓,22.35,住,,,1060829,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060419,90.93,2,2,1,有,有,無,15000,165,,0.0,0,租金含管理費,RPXNMLMKRHMFFCC98CC
中正區,建物,基隆市中正區觀海街168號,0.0,住,,,1060911,土地0建物1車位0,一層,16,店面(店鋪),商業用,鋼筋混凝土造,0880114,85.66,0,0,0,無,有,無,12000,140,,0.0,0,辦公室使用,RPQNMLNKRHMFFBC28CC
安樂區,建物,基隆市安樂區基金一路212之6號,0.0,住,,,1060901,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0771205,132.07,5,4,4,有,無,無,35000,265,,0.0,0,承租面積為1~4樓，其3~4樓為增建，增建面積約為109.09平方公尺,RPTNMLPKRHMFFCC88CC
七堵區,房地(土地+建物),基隆市七堵區工建北路2號內,6317.0,工,,,1060918,土地1建物1車位0,一層,2,倉庫,見其他登記事項,鋼筋混凝土加強磚造,0630816,746.42,0,0,0,無,無,無,150000,,,0.0,0,土地持分為總面積三分之,RPVOMLTLRHMFFCC07CC
中正區,建物,基隆市中正區新豐街358號14樓,0.0,住,,,1061007,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,81.06,2,2,1,有,有,有,10000,123,,0.0,0,,RPPNMLKKIIMFFBC07CC
安樂區,建物,基隆市安樂區基金一路129巷1之1號、基金一路129巷1之2號,0.0,其他,,,1060926,土地0建物2車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0841208,383.62,1,2,1,有,無,無,42000,109,,0.0,0,前六個月之月租金為42000元，後六個月之月租金調為50000元,RPQOMLQLIIMFFCC08CC
信義區,房地(土地+建物),基隆市信義區教忠街40巷74號,132.86,住,,,1061015,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0930813,148.09,0,1,3,有,無,無,25000,169,,0.0,0,土地持分與2樓建號3440合併登記，需另行分割,RPPNMLOJJIMFFBC47CC
