鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),新北市板橋區文化路二段１２５巷１號三樓,34.75,住,,,1081229,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620821,98.49,2,2,1,有,無,11000000,111686,,0.0,0,,RPSQMLLKKHPFFAF18CA,89.54,0.0,8.95,,
板橋區,房地(土地+建物)+車位,新北市板橋區華東街２８２號二十樓,13.75,住,,,1081130,土地2建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,160.45,3,2,2,有,無,24530000,166617,坡道平面,26.73,2250000,本案尚未成立管理委員會.,RPRRMLLKKHPFFAF18CA,79.09,6.31,8.61,,
板橋區,房地(土地+建物),新北市板橋區中正路１３２之４號,18.6,住,,,1081228,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670320,68.72,3,0,3,有,無,7500000,109139,,0.0,0,含增建或未登記建物。；,RPSNMLMKKHPFFAF97CA,68.72,0.0,0.0,,
土城區,房地(土地+建物),新北市土城區中華路一段１８３號六樓,6.13,住,,,1081230,土地2建物1車位0,六層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831110,48.76,1,1,1,有,有,5800000,118950,,0.0,0,,RPVNMLMKKHPFFAF28CA,40.45,0.0,4.71,,
板橋區,房地(土地+建物),新北市板橋區三民路2段181巷15號5樓,29.23,住,,,1090108,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760317,108.68,3,2,2,有,無,10300000,94774,,0.0,0,含增建或未登記建物。,RPPOMLMKKHPFFAF77CA,90.46,0.0,10.8,,
板橋區,房地(土地+建物),新北市板橋區重慶路２２６巷１弄３號,32.4,住,,,1081222,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,99.8,3,1,1,有,有,13180000,132064,,0.0,0,,RPSPMLMKKHPFFAF18CA,99.8,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區福德街２巷７號二樓,14.12,商,,,1081231,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,50.06,3,2,2,有,無,4000000,79904,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPSQMLMKKHPFFAF28CA,50.06,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區中山路一段1號6樓之9,2.83,商,,,1081221,土地1建物1車位0,六層,二十三層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0900216,35.2,1,1,1,有,有,5250000,149148,,0.0,0,含增建或未登記建物。；,RPWQMLMKKHPFFAF68CA,20.96,0.0,4.73,,
板橋區,土地,板翠段68地號,4.32,住,,,1081031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1110100,256968,,0.0,0,,RPXQMLMKKHPFFAF78CA,0.0,0.0,0.0,,
